Date,Weekday,Voucher Total,Emails geaccepteerd,Emails unieke opens,Traffic Total,Traffic split desktop,Traffic split mobile,Traffic split tablet,Som van Kosten,Som van Klikken,Order volumes total,Avg. Temperature,sunshine_duration_in_min,rain_time_in_min,Marketing_campagne_cat,Multi-cat_type,Spc dag pos aanloop,Spc dag pos,Spc dag neg,TV,Radio,ATL - Media
1-Jan-10,Vrijdag,1603,,,7016,,,,411.08,1580,3527,,,,,,,,,,,
2-Jan-10,Zaterdag,2722,,,8988,,,,423.31,1823,5584,,,,,,,,,,,
3-Jan-10,Zondag,3731,,,10512,,,,406.08,2043,7996,,,,,,,,,,,
4-Jan-10,Maandag,4812,,,11726,,,,428.61,2048,8841,,,,,,,,,,,
5-Jan-10,Dinsdag,4342,,,10222,,,,392.11,1736,8176,,,,,,,,,,,
6-Jan-10,Woensdag,4205,,,9101,,,,395.59,1622,7032,,,,,,,,,,,
7-Jan-10,Donderdag,3695,,,8634,,,,386.21,1514,5853,,,,,,,,,,,
8-Jan-10,Vrijdag,3251,,,7638,,,,334.84,1446,5463,,,,,,,,,,,
9-Jan-10,Zaterdag,2334,,,6669,,,,417.84,1504,4155,,,,,,,,,,,
10-Jan-10,Zondag,4195,,,11182,,,,424.83,1758,7175,,,,,,,,,,,
11-Jan-10,Maandag,4648,,,10616,,,,437.94,1900,7131,,,,,,,,,,,
12-Jan-10,Dinsdag,4236,,,10306,,,,429.4,1815,6998,,,,,,,,,,,
13-Jan-10,Woensdag,4021,,,9420,,,,422.61,1869,6166,,,,,,,,,,,
14-Jan-10,Donderdag,3806,,,8715,,,,409.49,1645,6035,,,,,,,,,,,
15-Jan-10,Vrijdag,3397,,,8106,,,,387.47,1543,5046,,,,,,,,,,,
16-Jan-10,Zaterdag,2113,,,5936,,,,334.22,1271,3412,,,,,,,,,,,
17-Jan-10,Zondag,3425,,,7999,,,,399.77,1621,5898,,,,,,,,,,,
18-Jan-10,Maandag,4350,,,9632,,,,414.88,1803,6358,,,,,,,,,,,
19-Jan-10,Dinsdag,4463,,,11103,,,,401.67,1730,6848,,,,,,,,,,,
20-Jan-10,Woensdag,4531,,,11911,,,,412.67,1653,6696,,,,,,,,,,,
21-Jan-10,Donderdag,3852,,,9116,,,,445.67,1640,5457,,,,,,,,,,,
22-Jan-10,Vrijdag,3266,,,7753,,,,408.44,1503,4919,,,,,,,,,,,
23-Jan-10,Zaterdag,2022,,,5845,,,,425.07,1273,3176,,,,,,,,,,,
24-Jan-10,Zondag,3430,,,7956,,,,448.26,1582,5867,,,,,,,,,,,
25-Jan-10,Maandag,4354,,,9482,,,,452.06,1753,6301,,,,,,,,,,,
26-Jan-10,Dinsdag,3984,,,9220,,,,552.73,1972,5805,,,,,,,,,,,
27-Jan-10,Woensdag,4217,,,9804,,,,581,2229,7345,,,,,,,,,,,
28-Jan-10,Donderdag,4114,,,9499,,,,580.89,2164,6001,,,,,,,,,,,
29-Jan-10,Vrijdag,3605,,,8917,,,,588.08,2038,5189,,,,,,,,,,,
30-Jan-10,Zaterdag,2093,,,6598,,,,552.42,1750,3473,,,,,,,,,,,
31-Jan-10,Zondag,3527,,,8793,,,,588.11,2062,5907,,,,,,,,,,,
1-Feb-10,Maandag,4653,,,14651,,,,639.48,2452,6952,,,,,,,,,,,
2-Feb-10,Dinsdag,6042,,,26321,,,,641.98,2545,8995,,,,,,,,,,,
3-Feb-10,Woensdag,5176,,,22704,,,,624.07,2450,7985,,,,,,,,,,,
4-Feb-10,Donderdag,4511,,,18040,,,,584.96,2239,7024,,,,,,,,,,,
5-Feb-10,Vrijdag,3793,,,18325,,,,568.52,2120,5361,,,,,,,,,,,
6-Feb-10,Zaterdag,2450,,,15163,,,,529.35,1743,3694,,,,,,,,,,,
7-Feb-10,Zondag,3866,,,17330,,,,611.44,2169,6312,,,,,,,,,,,
8-Feb-10,Maandag,5680,,,27690,,,,640.36,2550,8360,,,,,,,,,,,
9-Feb-10,Dinsdag,7583,,,36037,,,,604.01,2473,10253,,,,,,,,,,,
10-Feb-10,Woensdag,8701,,,38539,,,,500.46,2659,12578,,,,,,,,,,,
11-Feb-10,Donderdag,7911,,,30701,,,,699.99,2888,11041,,,,,,,,,,,
12-Feb-10,Vrijdag,6614,,,25018,,,,694.67,2683,9330,,,,,,,,,,,
13-Feb-10,Zaterdag,2756,,,18871,,,,688.1,2222,3835,,,,,,,,,,,
14-Feb-10,Zondag,3509,,,20502,,,,739.54,2638,5389,,,,,,,,,,,
15-Feb-10,Maandag,4278,,,12229,,,,622.69,2190,6146,,,,,,,,,,,
16-Feb-10,Dinsdag,4091,,,10613,,,,678.11,2392,5995,,,,,,,,,,,
17-Feb-10,Woensdag,4293,,,10751,,,,680.1,2389,6165,,,,,,,,,,,
18-Feb-10,Donderdag,3921,,,10183,,,,681.54,2282,6770,,,,,,,,,,,
19-Feb-10,Vrijdag,3696,,,9417,,,,671.67,2274,5068,,,,,,,,,,,
20-Feb-10,Zaterdag,2441,,,8155,,,,698.27,2037,3701,,,,,,,,,,,
21-Feb-10,Zondag,3573,,,10174,,,,714.41,2352,5330,,,,,,,,,,,
22-Feb-10,Maandag,5471,,,14184,,,,713.07,2558,7936,,,,,,,,,,,
23-Feb-10,Dinsdag,4442,,,10809,,,,675.74,2297,6305,,,,,,,,,,,
24-Feb-10,Woensdag,4166,,,10361,,,,680.03,2236,6167,,,,,,,,,,,
25-Feb-10,Donderdag,6479,,,14992,,,,671.51,2274,9543,,,,,,,,,,,
26-Feb-10,Vrijdag,7225,,,18383,,,,666.09,2111,10160,,,,,,,,,,,
27-Feb-10,Zaterdag,3419,,,10562,,,,664.99,1939,5648,,,,,,,,,,,
28-Feb-10,Zondag,5399,,,13452,,,,693.39,2316,9189,,,,,,,,,,,
1-Mar-10,Maandag,5627,,,13552,,,,750.73,2379,8595,,,,,,,,,,,
2-Mar-10,Dinsdag,5450,,,16163,,,,700.68,2283,8755,,,,,,,,,,,
3-Mar-10,Woensdag,5786,,,20181,,,,715.52,2169,8436,,,,,,,,,,,
4-Mar-10,Donderdag,4280,,,11986,,,,690.74,2074,6381,,,,,,,,,,,
5-Mar-10,Vrijdag,3903,,,10611,,,,630.36,2015,6034,,,,,,,,,,,
6-Mar-10,Zaterdag,2238,,,7609,,,,625.29,1827,3714,,,,,,,,,,,
7-Mar-10,Zondag,3649,,,9775,,,,719.06,2296,6193,,,,,,,,,,,
8-Mar-10,Maandag,4896,,,12001,,,,736.92,2505,7323,,,,,,,,,,,
9-Mar-10,Dinsdag,4220,,,10584,,,,638.88,2303,6276,,,,,,,,,,,
10-Mar-10,Woensdag,4745,,,11057,,,,649.62,2287,6844,,,,,,,,,,,
11-Mar-10,Donderdag,4122,,,10317,,,,679.59,2393,6002,,,,,,,,,,,
12-Mar-10,Vrijdag,3478,,,10055,,,,662.87,2123,5258,,,,,,,,,,,
13-Mar-10,Zaterdag,2229,,,8366,,,,560.92,1746,3701,,,,,,,,,,,
14-Mar-10,Zondag,3721,,,9732,,,,677.41,2126,6334,,,,,,,,,,,
15-Mar-10,Maandag,4627,,,11353,,,,696.02,2516,7589,,,,,,,,,,,
16-Mar-10,Dinsdag,4047,,,10622,,,,694.66,2463,5870,,,,,,,,,,,
17-Mar-10,Woensdag,3629,,,9470,,,,599.26,2127,5327,,,,,,,,,,,
18-Mar-10,Donderdag,3679,,,10227,,,,617.18,1960,5251,,,,,,,,,,,
19-Mar-10,Vrijdag,4199,,,16812,,,,646.82,2131,6134,,,,,,,,,,,
20-Mar-10,Zaterdag,2085,,,8895,,,,548.12,1752,3180,,,,,,,,,,,
21-Mar-10,Zondag,3240,,,9638,,,,639.9,2086,5576,,,,,,,,,,,
22-Mar-10,Maandag,4127,,,11227,,,,666.53,2375,5944,,,,,,,,,,,
23-Mar-10,Dinsdag,3846,,,10418,,,,648.16,2209,5847,,,,,,,,,,,
24-Mar-10,Woensdag,3854,,,9686,,,,651.05,2204,6021,,,,,,,,,,,
25-Mar-10,Donderdag,3327,,,8704,,,,600.28,2007,5097,,,,,,,,,,,
26-Mar-10,Vrijdag,3253,,,8889,,,,666.79,2181,4846,,,,,,,,,,,
27-Mar-10,Zaterdag,1883,,,6861,,,,561.87,1828,3067,,,,,,,,,,,
28-Mar-10,Zondag,3088,,,8438,,,,560.28,1976,5170,,,,,,,,,,,
29-Mar-10,Maandag,7269,,,18153,,,,687.84,2485,10979,,,,,,,,,,,
30-Mar-10,Dinsdag,6447,,,17798,,,,679.22,2421,10200,,,,,,,,,,,
31-Mar-10,Woensdag,5748,,,14186,,,,688.49,2537,9357,,,,,,,,,,,
1-Apr-10,Donderdag,4864,,,12721,,,,734.96,2604,7388,,,,,,,,,,,
2-Apr-10,Vrijdag,3572,,,10274,,,,720.73,2397,7822,,,,,,,,,,,
3-Apr-10,Zaterdag,1402,,,7569,,,,681.4,2044,2233,,,,,,,,,,,
4-Apr-10,Zondag,1789,,,7834,,,,666.21,2055,3099,,,,,,,,,,,
5-Apr-10,Maandag,2687,,,8502,,,,683.75,2191,4816,,,,,,,,,,,
6-Apr-10,Dinsdag,3694,,,9461,,,,545.24,2126,5545,,,,,,,,,,,
7-Apr-10,Woensdag,3692,,,9495,,,,581.42,2115,5635,,,,,,,,,,,
8-Apr-10,Donderdag,3923,,,9933,,,,716.97,2455,6155,,,,,,,,,,,
9-Apr-10,Vrijdag,3168,,,8550,,,,648.32,2202,4545,,,,,,,,,,,
10-Apr-10,Zaterdag,1945,,,6667,,,,642.02,1962,3071,,,,,,,,,,,
11-Apr-10,Zondag,3501,,,10201,,,,688.26,2623,6483,,,,,,,,,,,
12-Apr-10,Maandag,4482,,,11413,,,,717.01,2711,6568,,,,,,,,,,,
13-Apr-10,Dinsdag,3992,,,10397,,,,676.06,2543,6078,,,,,,,,,,,
14-Apr-10,Woensdag,3994,,,10173,,,,653.19,2575,6081,,,,,,,,,,,
15-Apr-10,Donderdag,3582,,,9197,,,,601.25,2430,5486,,,,,,,,,,,
16-Apr-10,Vrijdag,4339,,,10946,,,,655.27,2174,6738,,,,,,,,,,,
17-Apr-10,Zaterdag,1872,,,5768,,,,556.75,1544,3213,,,,,,,,,,,
18-Apr-10,Zondag,2942,,,7518,,,,624.92,1868,5196,,,,,,,,,,,
19-Apr-10,Maandag,5961,,,13552,,,,681.81,2299,10483,,,,,,,,,,,
20-Apr-10,Dinsdag,5256,,,11813,,,,654.51,2307,8952,,,,,,,,,,,
21-Apr-10,Woensdag,4915,,,11277,,,,667.94,2294,8360,,,,,,,,,,,
22-Apr-10,Donderdag,4164,,,9868,,,,623.25,2053,7103,,,,,,,,,,,
23-Apr-10,Vrijdag,3238,,,7537,,,,523.77,1758,5288,,,,,,,,,,,
24-Apr-10,Zaterdag,1704,,,5640,,,,565.99,1476,3002,,,,,,,,,,,
25-Apr-10,Zondag,3008,,,7634,,,,581.54,1748,5613,,,,,,,,,,,
26-Apr-10,Maandag,4961,,,12420,,,,677.75,2353,8023,,,,,,,,,,,
27-Apr-10,Dinsdag,5571,,,14671,,,,665.71,2200,8868,,,,,,,,,,,
28-Apr-10,Woensdag,4298,,,10536,,,,657.15,2211,7441,,,,,,,,,,,
29-Apr-10,Donderdag,3281,,,8685,,,,581.72,1857,5327,,,,,,,,,,,
30-Apr-10,Vrijdag,2568,,,7548,,,,508.49,1524,4777,,,,,,,,,,,
1-May-10,Zaterdag,2668,,,8560,,,,650.68,2030,4561,,,,,,,,,,,
2-May-10,Zondag,3509,,,22005,,,,753.59,2940,6194,,,,,,,,,,,
3-May-10,Maandag,9425,,,34952,,,,763.41,2931,15342,,,,,,,,,,,
4-May-10,Dinsdag,5845,,,29753,,,,733.14,2774,9916,,,,,,,,,,,
5-May-10,Woensdag,6722,,,26842,,,,700.02,2986,11828,,,,,,,,,,,
6-May-10,Donderdag,9240,,,37928,,,,716.91,3216,15084,,,,,,,,,,,
7-May-10,Vrijdag,8313,,,34155,,,,724.71,3038,13530,,,,,,,,,,,
8-May-10,Zaterdag,2839,,,14777,,,,604.02,2333,4583,,,,,,,,,,,
9-May-10,Zondag,3773,,,14368,,,,686.67,2843,5994,,,,,,,,,,,
10-May-10,Maandag,4877,,,13093,,,,698.5,2436,8739,,,,,,,,,,,
11-May-10,Dinsdag,4642,,,12130,,,,685.32,2365,9346,,,,,,,,,,,
12-May-10,Woensdag,3820,,,10384,,,,653.87,2260,5773,,,,,,,,,,,
13-May-10,Donderdag,3596,,,9688,,,,662.35,2104,5983,,,,,,,,,,,
14-May-10,Vrijdag,3236,,,8571,,,,590.88,1843,4838,,,,,,,,,,,
15-May-10,Zaterdag,2170,,,6621,,,,543.33,1517,3402,,,,,,,,,,,
16-May-10,Zondag,3751,,,9151,,,,576.66,1960,6239,,,,,,,,,,,
17-May-10,Maandag,4921,,,11334,,,,673.12,2187,7373,,,,,,,,,,,
18-May-10,Dinsdag,4324,,,10207,,,,669.56,2132,6591,,,,,,,,,,,
19-May-10,Woensdag,4193,,,9709,,,,652.22,2050,6441,,,,,,,,,,,
20-May-10,Donderdag,5037,,,11474,,,,640.78,1908,7771,,,,,,,,,,,
21-May-10,Vrijdag,3891,,,8836,,,,566.35,1557,6364,,,,,,,,,,,
22-May-10,Zaterdag,1642,,,5222,,,,586.9,1341,2886,,,,,,,,,,,
23-May-10,Zondag,2004,,,5394,,,,594.9,1367,3585,,,,,,,,,,,
24-May-10,Maandag,3431,,,7770,,,,632.8,1595,6343,,,,,,,,,,,
25-May-10,Dinsdag,4756,,,10151,,,,659.87,1872,7941,,,,,,,,,,,
26-May-10,Woensdag,5389,,,11797,,,,788.8,2097,10027,,,,,,,,,,,
27-May-10,Donderdag,5029,,,13507,,,,758.08,2042,11226,,,,,,,,,,,
28-May-10,Vrijdag,4055,,,11198,,,,731.47,1780,6760,,,,,,,,,,,
29-May-10,Zaterdag,2227,,,6204,,,,675.07,1502,3772,,,,,,,,,,,
30-May-10,Zondag,4486,,,11264,,,,762.45,2033,8262,,,,,,,,,,,
31-May-10,Maandag,5466,,,12387,,,,760.44,2136,9022,,,,,,,,,,,
1-Jun-10,Dinsdag,4454,,,10293,,,,802.02,2114,7480,,,,,,,,,,,
2-Jun-10,Woensdag,4259,,,9324,,,,788.69,2064,6626,,,,,,,,,,,
3-Jun-10,Donderdag,3920,,,8599,,,,774.14,1871,7016,,,,,,,,,,,
4-Jun-10,Vrijdag,3302,,,7444,,,,728.8,1561,5413,,,,,,,,,,,
5-Jun-10,Zaterdag,1413,,,4596,,,,633.35,1153,2253,,,,,,,,,,,
6-Jun-10,Zondag,3758,,,11038,,,,784.01,1798,6343,,,,,,,,,,,
7-Jun-10,Maandag,5589,,,15242,,,,773.69,2426,9107,,,,,,,,,,,
8-Jun-10,Dinsdag,4722,,,12078,,,,792.6,2515,7400,,,,,,,,,,,
9-Jun-10,Woensdag,4597,,,11926,,,,781.55,2578,7112,,,,,,,,,,,
10-Jun-10,Donderdag,3979,,,9509,,,,773.25,2265,6359,,,,,,,,,,,
11-Jun-10,Vrijdag,4260,,,11579,,,,802,2289,6559,,,,,,,,,,,
12-Jun-10,Zaterdag,2281,,,8103,,,,785.87,2364,3559,,,,,,,,,,,
13-Jun-10,Zondag,3904,,,10762,,,,880.94,2840,6630,,,,,,,,,,,
14-Jun-10,Maandag,5962,,,18657,,,,901.08,3056,9154,,,,,,,,,,,
15-Jun-10,Dinsdag,6025,,,19092,,,,831.73,3370,9040,,,,,,,,,,,
16-Jun-10,Woensdag,6884,,,20493,,,,1185.77,3648,10364,,,,,,,,,,,
17-Jun-10,Donderdag,8780,,,26242,,,,1209.23,3915,12924,,,,,,,,,,,
18-Jun-10,Vrijdag,7857,,,20724,,,,1142.17,3483,11339,,,,,,,,,,,
19-Jun-10,Zaterdag,2945,,,11165,,,,1062.82,2629,4580,,,,,,,,,,,
20-Jun-10,Zondag,5045,,,15712,,,,1112.83,3242,7882,,,,,,,,,,,
21-Jun-10,Maandag,5880,,,14589,,,,997.39,3078,8944,,,,,,,,,,,
22-Jun-10,Dinsdag,5060,,,11634,,,,985.4,2827,7884,,,,,,,,,,,
23-Jun-10,Woensdag,4597,,,9801,,,,571.72,1214,7233,,,,,,,,,,,
24-Jun-10,Donderdag,4160,,,9219,,,,815.42,1960,6212,,,,,,,,,,,
25-Jun-10,Vrijdag,3861,,,8577,,,,965.1,2379,5622,,,,,,,,,,,
26-Jun-10,Zaterdag,2253,,,5376,,,,691.18,1535,3353,,,,,,,,,,,
27-Jun-10,Zondag,3226,,,6896,,,,787.81,1837,5475,,,,,,,,,,,
28-Jun-10,Maandag,5325,,,11037,,,,954.09,2498,8339,,,,,,,,,,,
29-Jun-10,Dinsdag,9232,,,20515,,,,984.47,2770,15385,,,,,,,,,,,
30-Jun-10,Woensdag,6855,,,14759,,,,976.54,2739,12311,,,,,,,,,,,
1-Jul-10,Donderdag,5831,,,12742,,,,929,2679,9691,,,,,,,,,,,
2-Jul-10,Vrijdag,4140,,,9052,,,,756.42,2054,6899,,,,,,,,,,,
3-Jul-10,Zaterdag,3109,,,7769,,,,755.98,1904,5785,,,,,,,,,,,
4-Jul-10,Zondag,4350,,,10263,,,,883.97,2239,8022,,,,,,,,,,,
5-Jul-10,Maandag,6058,,,14105,,,,970.7,2952,9914,,,,,,,,,,,
6-Jul-10,Dinsdag,4419,,,10384,,,,856,2467,6990,,,,,,,,,,,
7-Jul-10,Woensdag,5036,,,11423,,,,874.72,2517,7392,,,,,,,,,,,
8-Jul-10,Donderdag,4295,,,9397,,,,863.42,2356,6801,,,,,,,,,,,
9-Jul-10,Vrijdag,3712,,,8139,,,,703.68,1880,5815,,,,,,,,,,,
10-Jul-10,Zaterdag,2124,,,5285,,,,536.38,1351,3436,,,,,,,,,,,
11-Jul-10,Zondag,2530,,,5778,,,,567.31,1438,4396,,,,,,,,,,,
12-Jul-10,Maandag,4979,,,10558,,,,890.96,2506,8065,,,,,,,,,,,
13-Jul-10,Dinsdag,4996,,,10869,,,,860.32,2468,7926,,,,,,,,,,,
14-Jul-10,Woensdag,5323,,,11220,,,,827.96,2526,8350,,,,,,,,,,,
15-Jul-10,Donderdag,4837,,,10177,,,,782.78,2495,7440,,,,,,,,,,,
16-Jul-10,Vrijdag,3824,,,9244,,,,768.68,2319,6150,,,,,,,,,,,
17-Jul-10,Zaterdag,2250,,,6077,,,,684.89,1735,3801,,,,,,,,,,,
18-Jul-10,Zondag,2844,,,7005,,,,708.09,1877,5185,,,,,,,,,,,
19-Jul-10,Maandag,4292,,,9604,,,,833.39,2428,6940,,,,,,,,,,,
20-Jul-10,Dinsdag,4045,,,9051,,,,771.29,2258,6663,,,,,,,,,,,
21-Jul-10,Woensdag,4367,,,9585,,,,689.87,2229,7238,,,,,,,,,,,
22-Jul-10,Donderdag,4312,,,9424,,,,759.44,2287,7072,,,,,,,,,,,
23-Jul-10,Vrijdag,3729,,,8672,,,,698.76,2109,6271,,,,,,,,,,,
24-Jul-10,Zaterdag,1976,,,6011,,,,567.72,1494,3732,,,,,,,,,,,
25-Jul-10,Zondag,4745,,,12424,,,,739.09,2081,9272,,,,,,,,,,,
26-Jul-10,Maandag,5247,,,12192,,,,787.25,2621,9825,,,,,,,,,,,
27-Jul-10,Dinsdag,4632,,,10605,,,,871.04,2816,8465,,,,,,,,,,,
28-Jul-10,Woensdag,4470,,,10273,,,,817.81,2624,8112,,,,,,,,,,,
29-Jul-10,Donderdag,4751,,,38545,,,,804.22,2500,8078,,,,,,,,,,,
30-Jul-10,Vrijdag,3676,,,15659,,,,699.14,2076,6390,,,,,,,,,,,
31-Jul-10,Zaterdag,2584,,,10291,,,,644.91,1921,4768,,,,,,,,,,,
1-Aug-10,Zondag,3403,,,10534,,,,735.39,2223,6705,,,,,,,,,,,
2-Aug-10,Maandag,4664,,,12524,,,,815.1,2625,8158,,,,,,,,,,,
3-Aug-10,Dinsdag,4045,,,10759,,,,779.66,2507,6709,,,,,,,,,,,
4-Aug-10,Woensdag,4658,,,11866,,,,834.85,2717,8162,,,,,,,,,,,
5-Aug-10,Donderdag,4142,,,10574,,,,838.06,2636,7136,,,,,,,,,,,
6-Aug-10,Vrijdag,3227,,,8227,,,,697.29,2113,5547,,,,,,,,,,,
7-Aug-10,Zaterdag,2320,,,7011,,,,666.33,1896,4300,,,,,,,,,,,
8-Aug-10,Zondag,3373,,,8761,,,,847.61,2534,6153,,,,,,,,,,,
9-Aug-10,Maandag,4285,,,10246,,,,890.49,2729,7019,,,,,,,,,,,
10-Aug-10,Dinsdag,4314,,,10854,,,,839.05,2675,7463,,,,,,,,,,,
11-Aug-10,Woensdag,5264,,,12811,,,,801.92,2565,9913,,,,,,,,,,,
12-Aug-10,Donderdag,4699,,,10949,,,,784.98,2395,8578,,,,,,,,,,,
13-Aug-10,Vrijdag,4037,,,9188,,,,687.21,2088,7106,,,,,,,,,,,
14-Aug-10,Zaterdag,2229,,,5945,,,,530.9,1528,4216,,,,,,,,,,,
15-Aug-10,Zondag,4044,,,9834,,,,870.41,2482,7984,,,,,,,,,,,
16-Aug-10,Maandag,5193,,,12112,,,,963.54,3074,9141,,,,,,,,,,,
17-Aug-10,Dinsdag,4963,,,11968,,,,980.65,3046,8483,,,,,,,,,,,
18-Aug-10,Woensdag,5710,,,13695,,,,1009.26,3266,8959,,,,,,,,,,,
19-Aug-10,Donderdag,5813,,,14658,,,,871.96,2903,9103,,,,,,,,,,,
20-Aug-10,Vrijdag,3614,,,8808,,,,699.76,2248,5926,,,,,,,,,,,
21-Aug-10,Zaterdag,2166,,,6227,,,,597.44,1682,3960,,,,,,,,,,,
22-Aug-10,Zondag,3980,,,9284,,,,836.18,2447,7674,,,,,,,,,,,
23-Aug-10,Maandag,5182,,,12005,,,,1034.57,3173,9238,,,,,,,,,,,
24-Aug-10,Dinsdag,4949,,,11734,,,,920.92,3125,8840,,,,,,,,,,,
25-Aug-10,Woensdag,7212,,,16037,,,,901.77,2883,11063,,,,,,,,,,,
26-Aug-10,Donderdag,6634,,,14429,,,,941.26,2735,10847,,,,,,,,,,,
27-Aug-10,Vrijdag,5231,,,11505,,,,803.15,2468,8714,,,,,,,,,,,
28-Aug-10,Zaterdag,2868,,,7357,,,,612.13,1780,4824,,,,,,,,,,,
29-Aug-10,Zondag,5040,,,11645,,,,990.25,2694,9066,,,,,,,,,,,
30-Aug-10,Maandag,6528,,,14285,,,,1055.23,3067,11183,,,,,,,,,,,
31-Aug-10,Dinsdag,5334,,,12229,,,,960.74,2708,9216,,,,,,,,,,,
1-Sep-10,Woensdag,5060,,,11763,,,,899.61,2578,8115,,,,,,,,,,,
2-Sep-10,Donderdag,4732,,,10932,,,,848.87,2500,7726,,,,,,,,,,,
3-Sep-10,Vrijdag,4084,,,9513,,,,727.52,2125,6273,,,,,,,,,,,
4-Sep-10,Zaterdag,2148,,,7025,,,,594.66,1567,3646,,,,,,,,,,,
5-Sep-10,Zondag,3613,,,9571,,,,801.91,2125,5992,,,,,,,,,,,
6-Sep-10,Maandag,6646,,,19230,,,,958.55,2869,11216,,,,,,,,,,,
7-Sep-10,Dinsdag,5947,,,15168,,,,988.32,3033,9979,,,,,,,,,,,
8-Sep-10,Woensdag,5942,,,14741,,,,1075.92,3213,9893,,,,,,,,,,,
9-Sep-10,Donderdag,4940,,,12446,,,,947.19,2907,8637,,,,,,,,,,,
10-Sep-10,Vrijdag,4344,,,10734,,,,857.13,2292,6887,,,,,,,,,,,
11-Sep-10,Zaterdag,2237,,,6587,,,,581.43,1371,3872,,,,,,,,,,,
12-Sep-10,Zondag,4092,,,10435,,,,1021.2,2244,6993,,,,,,,,,,,
13-Sep-10,Maandag,5843,,,13981,,,,1010.91,2372,9312,,,,,,,,,,,
14-Sep-10,Dinsdag,5333,,,13075,,,,1146.03,2732,8602,,,,,,,,,,,
15-Sep-10,Woensdag,5717,,,23613,,,,979.15,2377,9342,,,,,,,,,,,
16-Sep-10,Donderdag,5207,,,15370,,,,976.52,2613,8710,,,,,,,,,,,
17-Sep-10,Vrijdag,4372,,,11161,,,,874.12,2412,7253,,,,,,,,,,,
18-Sep-10,Zaterdag,2294,,,7166,,,,664.03,1702,3773,,,,,,,,,,,
19-Sep-10,Zondag,4051,,,10376,,,,990.69,2408,7186,,,,,,,,,,,
20-Sep-10,Maandag,5433,,,15673,,,,1205.96,3330,8602,,,,,,,,,,,
21-Sep-10,Dinsdag,4732,,,12881,,,,1063.91,2967,7423,,,,,,,,,,,
22-Sep-10,Woensdag,4860,,,18006,,,,1086.98,2982,7892,,,,,,,,,,,
23-Sep-10,Donderdag,5457,,,17823,,,,1062.1,2484,8579,,,,,,,,,,,
24-Sep-10,Vrijdag,5160,,,15279,,,,1037.08,2577,7827,,,,,,,,,,,
25-Sep-10,Zaterdag,2477,,,9982,,,,887.34,2082,4383,,,,,,,,,,,
26-Sep-10,Zondag,4431,,,40773,,,,1116.7,2514,7734,,,,,,,,,,,
27-Sep-10,Maandag,6197,,,26370,,,,1373.53,3334,10308,,,,,,,,,,,
28-Sep-10,Dinsdag,5512,,,16601,,,,1278.17,2851,9078,,,,,,,,,,,
29-Sep-10,Woensdag,6594,,,19637,,,,1185.93,2787,10444,,,,,,,,,,,
30-Sep-10,Donderdag,6282,,,24991,,,,1319.93,3033,10443,,,,,,,,,,,
1-Oct-10,Vrijdag,4488,,,17169,,,,1084.72,2475,7853,,,,,,,,,,,
2-Oct-10,Zaterdag,2626,,,9648,,,,1048.53,2164,4734,,,,,,,,,,,
3-Oct-10,Zondag,3933,,,11056,,,,1178.04,2556,7252,,,,,,,,,,,
4-Oct-10,Maandag,5240,,,13369,,,,1476.02,3426,8996,,,,,,,,,,,
5-Oct-10,Dinsdag,4734,,,11790,,,,1421.67,3362,7622,,,,,,,,,,,
6-Oct-10,Woensdag,5235,,,12804,,,,1286.06,3491,8398,,,,,,,,,,,
7-Oct-10,Donderdag,4322,,,10562,,,,1218.78,2946,6786,,,,,,,,,,,
8-Oct-10,Vrijdag,3985,,,9837,,,,1145.35,2639,6205,,,,,,,,,,,
9-Oct-10,Zaterdag,2020,,,6700,,,,896.37,1961,3519,,,,,,,,,,,
10-Oct-10,Zondag,3569,,,9154,,,,1174.58,2683,6299,,,,,,,,,,,
11-Oct-10,Maandag,5932,,,15587,,,,1363.76,3338,8589,,,,,,,,,,,
12-Oct-10,Dinsdag,7787,,,18843,,,,1393.79,3184,11346,,,,,,,,,,,
13-Oct-10,Woensdag,5607,,,14461,,,,1323.58,3117,8919,,,,,,,,,,,
14-Oct-10,Donderdag,5103,,,12737,,,,1260.03,3037,8388,,,,,,,,,,,
15-Oct-10,Vrijdag,5574,,,19517,,,,1215.98,2902,8415,,,,,,,,,,,
16-Oct-10,Zaterdag,3300,,,13004,,,,898.86,2087,5068,,,,,,,,,,,
17-Oct-10,Zondag,4699,,,13550,,,,1279.32,2797,7707,,,,,,,,,,,
18-Oct-10,Maandag,5853,,,14951,,,,1432.1,3345,8903,,,,,,,,,,,
19-Oct-10,Dinsdag,5055,,,14558,,,,1536.15,3516,7930,,,,,,,,,,,
20-Oct-10,Woensdag,5341,,,15375,,,,1462.61,3316,8539,,,,,,,,,,,
21-Oct-10,Donderdag,4765,,,13899,,,,1256.06,3044,7276,,,,,,,,,,,
22-Oct-10,Vrijdag,4182,,,12857,,,,1043.78,2515,6336,,,,,,,,,,,
23-Oct-10,Zaterdag,2757,,,9399,,,,893.86,2054,4569,,,,,,,,,,,
24-Oct-10,Zondag,3863,,,11269,,,,1194.06,2737,6611,,,,,,,,,,,
25-Oct-10,Maandag,5246,,,14327,,,,1391.01,3372,8229,,,,,,,,,,,
26-Oct-10,Dinsdag,5043,,,13387,,,,1333.28,3179,8395,,,,,,,,,,,
