fake_data,real_data,dates,,Grand Total
05/04/10,15-Apr-10,4-May-10,Dinsdag,3579
05/06/10,16-Apr-10,6-May-10,Donderdag,4997
05/07/10,17-Apr-10,7-May-10,Vrijdag,10077
05/09/10,18-Apr-10,9-May-10,Zondag,2198
05/10/10,19-Apr-10,10-May-10,Maandag,4290
05/11/10,20-Apr-10,11-May-10,Dinsdag,5678
05/12/10,21-Apr-10,12-May-10,Woensdag,2786
05/14/10,22-Apr-10,14-May-10,Vrijdag,2738
05/16/10,23-Apr-10,16-May-10,Zondag,2075
05/17/10,24-Apr-10,17-May-10,Maandag,3037
05/18/10,25-Apr-10,18-May-10,Dinsdag,2777
05/19/10,26-Apr-10,19-May-10,Woensdag,2747
05/20/10,27-Apr-10,20-May-10,Donderdag,2908
05/21/10,28-Apr-10,21-May-10,Vrijdag,3986
05/24/10,29-Apr-10,24-May-10,Maandag,500
05/25/10,30-Apr-10,25-May-10,Dinsdag,3030
05/26/10,1-May-10,26-May-10,Woensdag,3505
05/27/10,2-May-10,27-May-10,Donderdag,6432
05/28/10,3-May-10,28-May-10,Vrijdag,3622
05/30/10,4-May-10,30-May-10,Zondag,2738
05/31/10,5-May-10,31-May-10,Maandag,3583
06/01/10,6-May-10,1-Jun-10,Dinsdag,2794
06/02/10,7-May-10,2-Jun-10,Woensdag,2521
06/03/10,8-May-10,3-Jun-10,Donderdag,3025
06/04/10,9-May-10,4-Jun-10,Vrijdag,3156
06/06/10,10-May-10,6-Jun-10,Zondag,1985
06/07/10,11-May-10,7-Jun-10,Maandag,3863
06/08/10,12-May-10,8-Jun-10,Dinsdag,2903
06/09/10,13-May-10,9-Jun-10,Woensdag,3010
06/10/10,14-May-10,10-Jun-10,Donderdag,2852
06/11/10,15-May-10,11-Jun-10,Vrijdag,3832
06/13/10,16-May-10,13-Jun-10,Zondag,2262
06/14/10,17-May-10,14-Jun-10,Maandag,3032
06/15/10,18-May-10,15-Jun-10,Dinsdag,3063
06/16/10,19-May-10,16-Jun-10,Woensdag,3943
06/17/10,20-May-10,17-Jun-10,Donderdag,4883
06/18/10,21-May-10,18-Jun-10,Vrijdag,8078
06/20/10,22-May-10,20-Jun-10,Zondag,3109
06/21/10,23-May-10,21-Jun-10,Maandag,3822
06/22/10,24-May-10,22-Jun-10,Dinsdag,3325
06/23/10,25-May-10,23-Jun-10,Woensdag,3294
06/24/10,26-May-10,24-Jun-10,Donderdag,3157
06/25/10,27-May-10,25-Jun-10,Vrijdag,3295
06/27/10,28-May-10,27-Jun-10,Zondag,1869
06/28/10,29-May-10,28-Jun-10,Maandag,2962
06/29/10,30-May-10,29-Jun-10,Dinsdag,5128
06/30/10,31-May-10,30-Jun-10,Woensdag,4786
07/01/10,1-Jun-10,1-Jul-10,Donderdag,4314
