fake_data,real_data,dates,,Grand Total
06/23/11,1-Apr-11,23-Jun-11,Donderdag,5590
06/24/11,2-Apr-11,24-Jun-11,Vrijdag,6513
06/26/11,3-Apr-11,26-Jun-11,Zondag,3075
06/27/11,4-Apr-11,27-Jun-11,Maandag,5474
06/28/11,5-Apr-11,28-Jun-11,Dinsdag,6223
06/29/11,6-Apr-11,29-Jun-11,Woensdag,6252
06/30/11,7-Apr-11,30-Jun-11,Donderdag,6483
07/01/11,8-Apr-11,1-Jul-11,Vrijdag,7170
07/03/11,9-Apr-11,3-Jul-11,Zondag,3939
07/04/11,10-Apr-11,4-Jul-11,Maandag,5984
07/05/11,11-Apr-11,5-Jul-11,Dinsdag,5740
07/06/11,12-Apr-11,6-Jul-11,Woensdag,6132
07/07/11,13-Apr-11,7-Jul-11,Donderdag,6344
07/08/11,14-Apr-11,8-Jul-11,Vrijdag,6211
07/10/11,15-Apr-11,10-Jul-11,Zondag,3910
07/11/11,16-Apr-11,11-Jul-11,Maandag,4993
07/12/11,17-Apr-11,12-Jul-11,Dinsdag,4678
07/13/11,18-Apr-11,13-Jul-11,Woensdag,5893
07/14/11,19-Apr-11,14-Jul-11,Donderdag,5722
07/15/11,20-Apr-11,15-Jul-11,Vrijdag,6782
07/17/11,21-Apr-11,17-Jul-11,Zondag,4689
07/18/11,22-Apr-11,18-Jul-11,Maandag,5646
07/19/11,23-Apr-11,19-Jul-11,Dinsdag,4755
07/20/11,24-Apr-11,20-Jul-11,Woensdag,5208
07/21/11,25-Apr-11,21-Jul-11,Donderdag,5027
07/22/11,26-Apr-11,22-Jul-11,Vrijdag,5337
07/24/11,27-Apr-11,24-Jul-11,Zondag,4208
07/25/11,28-Apr-11,25-Jul-11,Maandag,4880
07/26/11,29-Apr-11,26-Jul-11,Dinsdag,5224
07/27/11,30-Apr-11,27-Jul-11,Woensdag,5522
07/28/11,1-May-11,28-Jul-11,Donderdag,4818
07/29/11,2-May-11,29-Jul-11,Vrijdag,5803
07/31/11,3-May-11,31-Jul-11,Zondag,4153
08/01/11,4-May-11,1-Aug-11,Maandag,4476
08/02/11,5-May-11,2-Aug-11,Dinsdag,4242
08/03/11,6-May-11,3-Aug-11,Woensdag,5179
08/04/11,7-May-11,4-Aug-11,Donderdag,4476
08/05/11,8-May-11,5-Aug-11,Vrijdag,4990
08/07/11,9-May-11,7-Aug-11,Zondag,3598
08/08/11,10-May-11,8-Aug-11,Maandag,5833
08/09/11,11-May-11,9-Aug-11,Dinsdag,5390
08/10/11,12-May-11,10-Aug-11,Woensdag,4404
08/11/11,13-May-11,11-Aug-11,Donderdag,4852
08/12/11,14-May-11,12-Aug-11,Vrijdag,5010
08/14/11,15-May-11,14-Aug-11,Zondag,4395
08/15/11,16-May-11,15-Aug-11,Maandag,5947
08/16/11,17-May-11,16-Aug-11,Dinsdag,6114
08/17/11,18-May-11,17-Aug-11,Woensdag,5830
08/18/11,19-May-11,18-Aug-11,Donderdag,5926
08/19/11,20-May-11,19-Aug-11,Vrijdag,6308
08/21/11,21-May-11,21-Aug-11,Zondag,4226
08/22/11,22-May-11,22-Aug-11,Maandag,6636
08/23/11,23-May-11,23-Aug-11,Dinsdag,5998
08/24/11,24-May-11,24-Aug-11,Woensdag,6733
08/25/11,25-May-11,25-Aug-11,Donderdag,6454
08/26/11,26-May-11,26-Aug-11,Vrijdag,7910
08/28/11,27-May-11,28-Aug-11,Zondag,5046
08/29/11,28-May-11,29-Aug-11,Maandag,6335
08/30/11,29-May-11,30-Aug-11,Dinsdag,6652
08/31/11,30-May-11,31-Aug-11,Woensdag,6656
09/01/11,31-May-11,1-Sep-11,Donderdag,5921
09/02/11,1-Jun-11,2-Sep-11,Vrijdag,6274
09/04/11,2-Jun-11,4-Sep-11,Zondag,4653
09/05/11,3-Jun-11,5-Sep-11,Maandag,5849
09/06/11,4-Jun-11,6-Sep-11,Dinsdag,5866
09/07/11,5-Jun-11,7-Sep-11,Woensdag,6544
09/08/11,6-Jun-11,8-Sep-11,Donderdag,6388
09/09/11,7-Jun-11,9-Sep-11,Vrijdag,7041
09/11/11,8-Jun-11,11-Sep-11,Zondag,4206
09/12/11,9-Jun-11,12-Sep-11,Maandag,6954
09/13/11,10-Jun-11,13-Sep-11,Dinsdag,6430
09/14/11,11-Jun-11,14-Sep-11,Woensdag,7353
09/15/11,12-Jun-11,15-Sep-11,Donderdag,5370
09/16/11,13-Jun-11,16-Sep-11,Vrijdag,6555
09/18/11,14-Jun-11,18-Sep-11,Zondag,5181
09/19/11,15-Jun-11,19-Sep-11,Maandag,5851
09/20/11,16-Jun-11,20-Sep-11,Dinsdag,5654
09/21/11,17-Jun-11,21-Sep-11,Woensdag,6580
09/22/11,18-Jun-11,22-Sep-11,Donderdag,5485
09/23/11,19-Jun-11,23-Sep-11,Vrijdag,7361
09/25/11,20-Jun-11,25-Sep-11,Zondag,3864
09/26/11,21-Jun-11,26-Sep-11,Maandag,6104
09/27/11,22-Jun-11,27-Sep-11,Dinsdag,6109
09/28/11,23-Jun-11,28-Sep-11,Woensdag,5829
09/29/11,24-Jun-11,29-Sep-11,Donderdag,5700
09/30/11,25-Jun-11,30-Sep-11,Vrijdag,7011
10/02/11,26-Jun-11,2-Oct-11,Zondag,3983
10/03/11,27-Jun-11,3-Oct-11,Maandag,6896
10/04/11,28-Jun-11,4-Oct-11,Dinsdag,6033
10/05/11,29-Jun-11,5-Oct-11,Woensdag,7507
10/06/11,30-Jun-11,6-Oct-11,Donderdag,7167
10/07/11,1-Jul-11,7-Oct-11,Vrijdag,7505
10/09/11,2-Jul-11,9-Oct-11,Zondag,5592
10/10/11,3-Jul-11,10-Oct-11,Maandag,6599
10/11/11,4-Jul-11,11-Oct-11,Dinsdag,6558
10/12/11,5-Jul-11,12-Oct-11,Woensdag,6872
10/13/11,6-Jul-11,13-Oct-11,Donderdag,5156
10/14/11,7-Jul-11,14-Oct-11,Vrijdag,6563
10/16/11,8-Jul-11,16-Oct-11,Zondag,3659
10/17/11,9-Jul-11,17-Oct-11,Maandag,6186
10/18/11,10-Jul-11,18-Oct-11,Dinsdag,5748
10/19/11,11-Jul-11,19-Oct-11,Woensdag,8247
10/20/11,12-Jul-11,20-Oct-11,Donderdag,7385
10/21/11,13-Jul-11,21-Oct-11,Vrijdag,7053
10/23/11,14-Jul-11,23-Oct-11,Zondag,3776
10/24/11,15-Jul-11,24-Oct-11,Maandag,6159
10/25/11,16-Jul-11,25-Oct-11,Dinsdag,6235
10/26/11,17-Jul-11,26-Oct-11,Woensdag,6693
10/27/11,18-Jul-11,27-Oct-11,Donderdag,6289
10/28/11,19-Jul-11,28-Oct-11,Vrijdag,6395
10/30/11,20-Jul-11,30-Oct-11,Zondag,4796
10/31/11,21-Jul-11,31-Oct-11,Maandag,6647
11/01/11,22-Jul-11,1-Nov-11,Dinsdag,6893
11/02/11,23-Jul-11,2-Nov-11,Woensdag,6505
11/03/11,24-Jul-11,3-Nov-11,Donderdag,6773
11/04/11,25-Jul-11,4-Nov-11,Vrijdag,6999
11/06/11,26-Jul-11,6-Nov-11,Zondag,5137
11/07/11,27-Jul-11,7-Nov-11,Maandag,6465
11/08/11,28-Jul-11,8-Nov-11,Dinsdag,478
11/09/11,29-Jul-11,9-Nov-11,Woensdag,36
11/10/11,30-Jul-11,10-Nov-11,Donderdag,6697
11/11/11,31-Jul-11,11-Nov-11,Vrijdag,6672
11/13/11,1-Aug-11,13-Nov-11,Zondag,5104
11/14/11,2-Aug-11,14-Nov-11,Maandag,695
11/15/11,3-Aug-11,15-Nov-11,Dinsdag,26
11/16/11,4-Aug-11,16-Nov-11,Woensdag,6936
11/17/11,5-Aug-11,17-Nov-11,Donderdag,7517
11/18/11,6-Aug-11,18-Nov-11,Vrijdag,7089
11/20/11,7-Aug-11,20-Nov-11,Zondag,4735
11/21/11,8-Aug-11,21-Nov-11,Maandag,6579
11/22/11,9-Aug-11,22-Nov-11,Dinsdag,5982
11/23/11,10-Aug-11,23-Nov-11,Woensdag,6113
11/24/11,11-Aug-11,24-Nov-11,Donderdag,6149
11/25/11,12-Aug-11,25-Nov-11,Vrijdag,8264
11/27/11,13-Aug-11,27-Nov-11,Zondag,5069
11/28/11,14-Aug-11,28-Nov-11,Maandag,6906
11/29/11,15-Aug-11,29-Nov-11,Dinsdag,6929
11/30/11,16-Aug-11,30-Nov-11,Woensdag,6730
12/01/11,17-Aug-11,1-Dec-11,Donderdag,7202
12/02/11,18-Aug-11,2-Dec-11,Vrijdag,804
12/04/11,19-Aug-11,4-Dec-11,Zondag,2453
12/05/11,20-Aug-11,5-Dec-11,Maandag,7086
12/06/11,21-Aug-11,6-Dec-11,Dinsdag,7993
12/07/11,22-Aug-11,7-Dec-11,Woensdag,8908
12/08/11,23-Aug-11,8-Dec-11,Donderdag,9460
12/09/11,24-Aug-11,9-Dec-11,Vrijdag,11204
12/11/11,25-Aug-11,11-Dec-11,Zondag,10902
12/12/11,26-Aug-11,12-Dec-11,Maandag,13159
12/13/11,27-Aug-11,13-Dec-11,Dinsdag,15387
12/14/11,28-Aug-11,14-Dec-11,Woensdag,18292
12/15/11,29-Aug-11,15-Dec-11,Donderdag,15600
12/16/11,30-Aug-11,16-Dec-11,Vrijdag,18910
12/18/11,31-Aug-11,18-Dec-11,Zondag,28121
12/19/11,1-Sep-11,19-Dec-11,Maandag,26496
12/20/11,2-Sep-11,20-Dec-11,Dinsdag,24150
12/21/11,3-Sep-11,21-Dec-11,Woensdag,24348
12/22/11,4-Sep-11,22-Dec-11,Donderdag,23862
12/23/11,5-Sep-11,23-Dec-11,Vrijdag,12846
12/27/11,6-Sep-11,27-Dec-11,Dinsdag,8337
12/28/11,7-Sep-11,28-Dec-11,Woensdag,11039
12/29/11,8-Sep-11,29-Dec-11,Donderdag,69
12/30/11,9-Sep-11,30-Dec-11,Vrijdag,7678
01/02/12,10-Sep-11,2-Jan-12,Maandag,42
01/03/12,11-Sep-11,3-Jan-12,Dinsdag,14
01/04/12,12-Sep-11,4-Jan-12,Woensdag,13
01/05/12,13-Sep-11,5-Jan-12,Donderdag,6095
01/06/12,14-Sep-11,6-Jan-12,Vrijdag,5588
01/08/12,15-Sep-11,8-Jan-12,Zondag,4034
01/09/12,16-Sep-11,9-Jan-12,Maandag,5465
01/10/12,17-Sep-11,10-Jan-12,Dinsdag,6296
01/11/12,18-Sep-11,11-Jan-12,Woensdag,6658
01/12/12,19-Sep-11,12-Jan-12,Donderdag,6312
01/13/12,20-Sep-11,13-Jan-12,Vrijdag,6637
01/15/12,21-Sep-11,15-Jan-12,Zondag,5318
01/16/12,22-Sep-11,16-Jan-12,Maandag,94
01/17/12,23-Sep-11,17-Jan-12,Dinsdag,6091
01/18/12,24-Sep-11,18-Jan-12,Woensdag,7127
01/19/12,25-Sep-11,19-Jan-12,Donderdag,6787
01/20/12,26-Sep-11,20-Jan-12,Vrijdag,7113
01/22/12,27-Sep-11,22-Jan-12,Zondag,5455
01/23/12,28-Sep-11,23-Jan-12,Maandag,7138
01/24/12,29-Sep-11,24-Jan-12,Dinsdag,9023
01/25/12,30-Sep-11,25-Jan-12,Woensdag,8934
01/26/12,1-Oct-11,26-Jan-12,Donderdag,7494
01/27/12,2-Oct-11,27-Jan-12,Vrijdag,7783
01/29/12,3-Oct-11,29-Jan-12,Zondag,5705
01/30/12,4-Oct-11,30-Jan-12,Maandag,57
01/31/12,5-Oct-11,31-Jan-12,Dinsdag,1718
02/01/12,6-Oct-11,1-Feb-12,Woensdag,7044
02/02/12,7-Oct-11,2-Feb-12,Donderdag,5872
02/03/12,8-Oct-11,3-Feb-12,Vrijdag,8357
02/05/12,9-Oct-11,5-Feb-12,Zondag,6089
02/06/12,10-Oct-11,6-Feb-12,Maandag,7641
02/07/12,11-Oct-11,7-Feb-12,Dinsdag,7497
02/08/12,12-Oct-11,8-Feb-12,Woensdag,8055
02/09/12,13-Oct-11,9-Feb-12,Donderdag,7177
02/10/12,14-Oct-11,10-Feb-12,Vrijdag,8978
02/12/12,15-Oct-11,12-Feb-12,Zondag,6678
02/13/12,16-Oct-11,13-Feb-12,Maandag,21877
02/14/12,17-Oct-11,14-Feb-12,Dinsdag,8128
02/15/12,18-Oct-11,15-Feb-12,Woensdag,7901
02/16/12,19-Oct-11,16-Feb-12,Donderdag,7219
02/17/12,20-Oct-11,17-Feb-12,Vrijdag,202
02/19/12,21-Oct-11,19-Feb-12,Zondag,763
02/20/12,22-Oct-11,20-Feb-12,Maandag,7269
02/21/12,23-Oct-11,21-Feb-12,Dinsdag,7192
02/22/12,24-Oct-11,22-Feb-12,Woensdag,9044
02/23/12,25-Oct-11,23-Feb-12,Donderdag,9228
02/24/12,26-Oct-11,24-Feb-12,Vrijdag,3745
02/26/12,27-Oct-11,26-Feb-12,Zondag,1278
02/27/12,28-Oct-11,27-Feb-12,Maandag,7894
02/28/12,29-Oct-11,28-Feb-12,Dinsdag,6420
02/29/12,30-Oct-11,29-Feb-12,Woensdag,7617
03/01/12,31-Oct-11,1-Mar-12,Donderdag,7172
03/02/12,1-Nov-11,2-Mar-12,Vrijdag,8028
03/04/12,2-Nov-11,4-Mar-12,Zondag,5685
03/05/12,3-Nov-11,5-Mar-12,Maandag,1190
03/06/12,4-Nov-11,6-Mar-12,Dinsdag,50
03/07/12,5-Nov-11,7-Mar-12,Woensdag,23
03/08/12,6-Nov-11,8-Mar-12,Donderdag,6226
03/09/12,7-Nov-11,9-Mar-12,Vrijdag,8616
03/11/12,8-Nov-11,11-Mar-12,Zondag,5094
03/12/12,9-Nov-11,12-Mar-12,Maandag,7760
03/13/12,10-Nov-11,13-Mar-12,Dinsdag,7551
03/14/12,11-Nov-11,14-Mar-12,Woensdag,41
03/15/12,12-Nov-11,15-Mar-12,Donderdag,2592
03/16/12,13-Nov-11,16-Mar-12,Vrijdag,8655
03/18/12,14-Nov-11,18-Mar-12,Zondag,85
03/19/12,15-Nov-11,19-Mar-12,Maandag,4917
03/20/12,16-Nov-11,20-Mar-12,Dinsdag,7389
03/21/12,17-Nov-11,21-Mar-12,Woensdag,6596
03/22/12,18-Nov-11,22-Mar-12,Donderdag,7925
03/23/12,19-Nov-11,23-Mar-12,Vrijdag,8635
03/25/12,20-Nov-11,25-Mar-12,Zondag,4550
03/26/12,21-Nov-11,26-Mar-12,Maandag,8060
03/27/12,22-Nov-11,27-Mar-12,Dinsdag,5606
03/28/12,23-Nov-11,28-Mar-12,Woensdag,3202
03/29/12,24-Nov-11,29-Mar-12,Donderdag,8180
03/30/12,25-Nov-11,30-Mar-12,Vrijdag,10130
04/01/12,26-Nov-11,1-Apr-12,Zondag,5643
04/02/12,27-Nov-11,2-Apr-12,Maandag,8359
04/03/12,28-Nov-11,3-Apr-12,Dinsdag,7008
04/04/12,29-Nov-11,4-Apr-12,Woensdag,7798
04/05/12,30-Nov-11,5-Apr-12,Donderdag,7506
04/06/12,1-Dec-11,6-Apr-12,Vrijdag,7840
04/08/12,2-Dec-11,8-Apr-12,Zondag,2
04/09/12,3-Dec-11,9-Apr-12,Maandag,17
04/10/12,4-Dec-11,10-Apr-12,Dinsdag,621
04/11/12,5-Dec-11,11-Apr-12,Woensdag,9167
04/12/12,6-Dec-11,12-Apr-12,Donderdag,7595
04/13/12,7-Dec-11,13-Apr-12,Vrijdag,7984
04/15/12,8-Dec-11,15-Apr-12,Zondag,5456
04/16/12,9-Dec-11,16-Apr-12,Maandag,7361
04/17/12,10-Dec-11,17-Apr-12,Dinsdag,6819
04/18/12,11-Dec-11,18-Apr-12,Woensdag,8071
04/19/12,12-Dec-11,19-Apr-12,Donderdag,7865
04/20/12,13-Dec-11,20-Apr-12,Vrijdag,8512
04/22/12,14-Dec-11,22-Apr-12,Zondag,5952
04/23/12,15-Dec-11,23-Apr-12,Maandag,7267
04/24/12,16-Dec-11,24-Apr-12,Dinsdag,6922
04/25/12,17-Dec-11,25-Apr-12,Woensdag,7167
04/26/12,18-Dec-11,26-Apr-12,Donderdag,8061
04/27/12,19-Dec-11,27-Apr-12,Vrijdag,8463
04/29/12,20-Dec-11,29-Apr-12,Zondag,1313
05/01/12,21-Dec-11,1-May-12,Dinsdag,78
05/02/12,22-Dec-11,2-May-12,Woensdag,5860
05/03/12,23-Dec-11,3-May-12,Donderdag,8529
05/04/12,24-Dec-11,4-May-12,Vrijdag,7650
05/06/12,25-Dec-11,6-May-12,Zondag,5415
05/07/12,26-Dec-11,7-May-12,Maandag,7123
05/08/12,27-Dec-11,8-May-12,Dinsdag,8533
05/09/12,28-Dec-11,9-May-12,Woensdag,7863
05/10/12,29-Dec-11,10-May-12,Donderdag,11438
05/11/12,30-Dec-11,11-May-12,Vrijdag,16860
05/13/12,31-Dec-11,13-May-12,Zondag,26
05/14/12,1-Jan-12,14-May-12,Maandag,4657
05/15/12,2-Jan-12,15-May-12,Dinsdag,7924
05/16/12,3-Jan-12,16-May-12,Woensdag,6452
05/17/12,4-Jan-12,17-May-12,Donderdag,2
05/18/12,5-Jan-12,18-May-12,Vrijdag,6129
05/20/12,6-Jan-12,20-May-12,Zondag,4531
05/21/12,7-Jan-12,21-May-12,Maandag,1647
05/22/12,8-Jan-12,22-May-12,Dinsdag,81
05/23/12,9-Jan-12,23-May-12,Woensdag,6765
05/24/12,10-Jan-12,24-May-12,Donderdag,6450
05/25/12,11-Jan-12,25-May-12,Vrijdag,7323
05/27/12,12-Jan-12,27-May-12,Zondag,1
05/28/12,13-Jan-12,28-May-12,Maandag,5014
05/29/12,14-Jan-12,29-May-12,Dinsdag,10014
05/30/12,15-Jan-12,30-May-12,Woensdag,8502
05/31/12,16-Jan-12,31-May-12,Donderdag,8473
06/01/12,17-Jan-12,1-Jun-12,Vrijdag,7077
06/03/12,18-Jan-12,3-Jun-12,Zondag,5680
06/04/12,19-Jan-12,4-Jun-12,Maandag,6083
06/05/12,20-Jan-12,5-Jun-12,Dinsdag,165
06/06/12,21-Jan-12,6-Jun-12,Woensdag,4806
06/07/12,22-Jan-12,7-Jun-12,Donderdag,6548
06/08/12,23-Jan-12,8-Jun-12,Vrijdag,6951
06/10/12,24-Jan-12,10-Jun-12,Zondag,4255
06/11/12,25-Jan-12,11-Jun-12,Maandag,8316
06/12/12,26-Jan-12,12-Jun-12,Dinsdag,7616
06/13/12,27-Jan-12,13-Jun-12,Woensdag,10277
06/14/12,28-Jan-12,14-Jun-12,Donderdag,13039
06/15/12,29-Jan-12,15-Jun-12,Vrijdag,16219
06/17/12,30-Jan-12,17-Jun-12,Zondag,5550
06/18/12,31-Jan-12,18-Jun-12,Maandag,7220
06/19/12,1-Feb-12,19-Jun-12,Dinsdag,6525
06/20/12,2-Feb-12,20-Jun-12,Woensdag,7524
06/21/12,3-Feb-12,21-Jun-12,Donderdag,6383
06/22/12,4-Feb-12,22-Jun-12,Vrijdag,7991
06/24/12,5-Feb-12,24-Jun-12,Zondag,6677
06/25/12,6-Feb-12,25-Jun-12,Maandag,8181
06/26/12,7-Feb-12,26-Jun-12,Dinsdag,7331
06/27/12,8-Feb-12,27-Jun-12,Woensdag,8601
06/28/12,9-Feb-12,28-Jun-12,Donderdag,3770
06/29/12,10-Feb-12,29-Jun-12,Vrijdag,174
07/01/12,11-Feb-12,1-Jul-12,Zondag,20
07/02/12,12-Feb-12,2-Jul-12,Maandag,7363
07/03/12,13-Feb-12,3-Jul-12,Dinsdag,7267
07/04/12,14-Feb-12,4-Jul-12,Woensdag,6838
07/05/12,15-Feb-12,5-Jul-12,Donderdag,6835
07/06/12,16-Feb-12,6-Jul-12,Vrijdag,7379
07/08/12,17-Feb-12,8-Jul-12,Zondag,5783
07/09/12,18-Feb-12,9-Jul-12,Maandag,7542
07/10/12,19-Feb-12,10-Jul-12,Dinsdag,8139
07/11/12,20-Feb-12,11-Jul-12,Woensdag,8220
07/12/12,21-Feb-12,12-Jul-12,Donderdag,7548
07/13/12,22-Feb-12,13-Jul-12,Vrijdag,7413
07/15/12,23-Feb-12,15-Jul-12,Zondag,4697
07/16/12,24-Feb-12,16-Jul-12,Maandag,7143
07/17/12,25-Feb-12,17-Jul-12,Dinsdag,6383
07/18/12,26-Feb-12,18-Jul-12,Woensdag,7028
07/19/12,27-Feb-12,19-Jul-12,Donderdag,6798
07/20/12,28-Feb-12,20-Jul-12,Vrijdag,6248
07/22/12,29-Feb-12,22-Jul-12,Zondag,4645
07/23/12,1-Mar-12,23-Jul-12,Maandag,142
07/24/12,2-Mar-12,24-Jul-12,Dinsdag,6588
07/25/12,3-Mar-12,25-Jul-12,Woensdag,6521
07/26/12,4-Mar-12,26-Jul-12,Donderdag,5282
07/27/12,5-Mar-12,27-Jul-12,Vrijdag,7096
07/29/12,6-Mar-12,29-Jul-12,Zondag,4185
07/30/12,7-Mar-12,30-Jul-12,Maandag,6753
07/31/12,8-Mar-12,31-Jul-12,Dinsdag,7544
08/01/12,9-Mar-12,1-Aug-12,Woensdag,1018
08/02/12,10-Mar-12,2-Aug-12,Donderdag,187
08/03/12,11-Mar-12,3-Aug-12,Vrijdag,134
08/05/12,12-Mar-12,5-Aug-12,Zondag,90
08/06/12,13-Mar-12,6-Aug-12,Maandag,6629
08/07/12,14-Mar-12,7-Aug-12,Dinsdag,6463
08/08/12,15-Mar-12,8-Aug-12,Woensdag,6137
08/09/12,16-Mar-12,9-Aug-12,Donderdag,5460
08/10/12,17-Mar-12,10-Aug-12,Vrijdag,265
08/12/12,18-Mar-12,12-Aug-12,Zondag,410
08/13/12,19-Mar-12,13-Aug-12,Maandag,7480
08/14/12,20-Mar-12,14-Aug-12,Dinsdag,6805
08/15/12,21-Mar-12,15-Aug-12,Woensdag,6282
08/16/12,22-Mar-12,16-Aug-12,Donderdag,5760
08/17/12,23-Mar-12,17-Aug-12,Vrijdag,6429
08/19/12,24-Mar-12,19-Aug-12,Zondag,4010
08/20/12,25-Mar-12,20-Aug-12,Maandag,7387
08/21/12,26-Mar-12,21-Aug-12,Dinsdag,8235
08/22/12,27-Mar-12,22-Aug-12,Woensdag,8368
08/23/12,28-Mar-12,23-Aug-12,Donderdag,7916
08/24/12,29-Mar-12,24-Aug-12,Vrijdag,9640
08/26/12,30-Mar-12,26-Aug-12,Zondag,7794
08/27/12,31-Mar-12,27-Aug-12,Maandag,9801
08/28/12,1-Apr-12,28-Aug-12,Dinsdag,3005
08/29/12,2-Apr-12,29-Aug-12,Woensdag,283
08/30/12,3-Apr-12,30-Aug-12,Donderdag,35
08/31/12,4-Apr-12,31-Aug-12,Vrijdag,24
09/02/12,5-Apr-12,2-Sep-12,Zondag,6910
09/03/12,6-Apr-12,3-Sep-12,Maandag,9189
09/04/12,7-Apr-12,4-Sep-12,Dinsdag,8387
09/05/12,8-Apr-12,5-Sep-12,Woensdag,10232
09/06/12,9-Apr-12,6-Sep-12,Donderdag,9424
09/07/12,10-Apr-12,7-Sep-12,Vrijdag,10103
09/09/12,11-Apr-12,9-Sep-12,Zondag,5609
09/10/12,12-Apr-12,10-Sep-12,Maandag,7360
09/11/12,13-Apr-12,11-Sep-12,Dinsdag,276
09/12/12,14-Apr-12,12-Sep-12,Woensdag,9324
09/13/12,15-Apr-12,13-Sep-12,Donderdag,8498
09/14/12,16-Apr-12,14-Sep-12,Vrijdag,9113
09/16/12,17-Apr-12,16-Sep-12,Zondag,5185
09/17/12,18-Apr-12,17-Sep-12,Maandag,95
09/18/12,19-Apr-12,18-Sep-12,Dinsdag,8232
09/19/12,20-Apr-12,19-Sep-12,Woensdag,9060
09/20/12,21-Apr-12,20-Sep-12,Donderdag,8414
09/21/12,22-Apr-12,21-Sep-12,Vrijdag,297
09/23/12,23-Apr-12,23-Sep-12,Zondag,14
09/24/12,24-Apr-12,24-Sep-12,Maandag,249
09/25/12,25-Apr-12,25-Sep-12,Dinsdag,674
09/26/12,26-Apr-12,26-Sep-12,Woensdag,9524
09/27/12,27-Apr-12,27-Sep-12,Donderdag,9382
09/28/12,28-Apr-12,28-Sep-12,Vrijdag,9220
09/30/12,29-Apr-12,30-Sep-12,Zondag,6648
10/01/12,30-Apr-12,1-Oct-12,Maandag,9333
10/02/12,1-May-12,2-Oct-12,Dinsdag,8721
10/03/12,2-May-12,3-Oct-12,Woensdag,9132
10/04/12,3-May-12,4-Oct-12,Donderdag,7518
10/05/12,4-May-12,5-Oct-12,Vrijdag,9020
10/07/12,5-May-12,7-Oct-12,Zondag,5776
10/08/12,6-May-12,8-Oct-12,Maandag,7572
10/09/12,7-May-12,9-Oct-12,Dinsdag,8574
10/10/12,8-May-12,10-Oct-12,Woensdag,4905
10/11/12,9-May-12,11-Oct-12,Donderdag,40
10/12/12,10-May-12,12-Oct-12,Vrijdag,147
10/14/12,11-May-12,14-Oct-12,Zondag,3619
10/15/12,12-May-12,15-Oct-12,Maandag,9984
10/16/12,13-May-12,16-Oct-12,Dinsdag,8165
10/17/12,14-May-12,17-Oct-12,Woensdag,7337
10/18/12,15-May-12,18-Oct-12,Donderdag,7250
10/19/12,16-May-12,19-Oct-12,Vrijdag,8200
10/21/12,17-May-12,21-Oct-12,Zondag,3742
10/22/12,18-May-12,22-Oct-12,Maandag,188
10/23/12,19-May-12,23-Oct-12,Dinsdag,4625
10/24/12,20-May-12,24-Oct-12,Woensdag,7728
10/25/12,21-May-12,25-Oct-12,Donderdag,7892
10/26/12,22-May-12,26-Oct-12,Vrijdag,9233
10/28/12,23-May-12,28-Oct-12,Zondag,9997
10/29/12,24-May-12,29-Oct-12,Maandag,4848
10/30/12,25-May-12,30-Oct-12,Dinsdag,305
10/31/12,26-May-12,31-Oct-12,Woensdag,5664
11/01/12,27-May-12,1-Nov-12,Donderdag,7858
11/02/12,28-May-12,2-Nov-12,Vrijdag,127
11/04/12,29-May-12,4-Nov-12,Zondag,3777
11/05/12,30-May-12,5-Nov-12,Maandag,9477
11/06/12,31-May-12,6-Nov-12,Dinsdag,7984
11/07/12,1-Jun-12,7-Nov-12,Woensdag,8712
11/08/12,2-Jun-12,8-Nov-12,Donderdag,8390
11/09/12,3-Jun-12,9-Nov-12,Vrijdag,9238
11/11/12,4-Jun-12,11-Nov-12,Zondag,6553
11/12/12,5-Jun-12,12-Nov-12,Maandag,9923
11/13/12,6-Jun-12,13-Nov-12,Dinsdag,9457
11/14/12,7-Jun-12,14-Nov-12,Woensdag,302
11/15/12,8-Jun-12,15-Nov-12,Donderdag,6291
11/16/12,9-Jun-12,16-Nov-12,Vrijdag,9078
11/18/12,10-Jun-12,18-Nov-12,Zondag,7326
11/19/12,11-Jun-12,19-Nov-12,Maandag,8660
11/20/12,12-Jun-12,20-Nov-12,Dinsdag,8989
11/21/12,13-Jun-12,21-Nov-12,Woensdag,10297
11/22/12,14-Jun-12,22-Nov-12,Donderdag,8903
11/23/12,15-Jun-12,23-Nov-12,Vrijdag,9506
11/25/12,16-Jun-12,25-Nov-12,Zondag,7000
11/26/12,17-Jun-12,26-Nov-12,Maandag,9979
11/27/12,18-Jun-12,27-Nov-12,Dinsdag,1235
11/28/12,19-Jun-12,28-Nov-12,Woensdag,1282
11/29/12,20-Jun-12,29-Nov-12,Donderdag,9718
11/30/12,21-Jun-12,30-Nov-12,Vrijdag,9038
12/02/12,22-Jun-12,2-Dec-12,Zondag,7961
12/03/12,23-Jun-12,3-Dec-12,Maandag,10959
12/04/12,24-Jun-12,4-Dec-12,Dinsdag,10446
12/05/12,25-Jun-12,5-Dec-12,Woensdag,9623
12/06/12,26-Jun-12,6-Dec-12,Donderdag,11850
12/07/12,27-Jun-12,7-Dec-12,Vrijdag,2708
12/09/12,28-Jun-12,9-Dec-12,Zondag,17883
12/10/12,29-Jun-12,10-Dec-12,Maandag,20983
12/11/12,30-Jun-12,11-Dec-12,Dinsdag,4846
12/12/12,1-Jul-12,12-Dec-12,Woensdag,21842
