Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
06-02-12,13995,maandag,-8,480,0,11435,36000,2822.62,9795,,,,,
07-02-12,13596,dinsdag,-9,510,0,11203,37514,3338.41,11152,,,,,
08-02-12,14233,woensdag,-3,306,0,13234,46166,3411.17,10792,,,,,
09-02-12,14896,donderdag,-4,72,0,13004,41651,3778.03,12918,,,Valentijnsdag,,
10-02-12,18161,vrijdag,-6,522,0,14198,46287,3789.25,13737,,,Valentijnsdag,,
11-02-12,6,zaterdag,-7,498,0,10363,36666,3493.84,12144,,,Valentijnsdag,,
12-02-12,14714,zondag,-4,0,84,22190,62873,4192.53,16612,,,Valentijnsdag,,
13-02-12,67447,maandag,3,48,216,34634,94086,5725.2,32123,,,Valentijnsdag,,
14-02-12,16363,dinsdag,5,30,468,9841,50167,3476.94,15567,,,,Valentijnsdag,
15-02-12,13572,woensdag,6,6,42,9636,25184,2427.74,7422,,,,,
16-02-12,13717,donderdag,6,0,0,8748,20136,1781.15,5434,,,,,
17-02-12,7680,vrijdag,7,168,60,7184,15870,1469.21,4766,,,,,
18-02-12,,zaterdag,7,6,276,3894,10830,1138.74,3437,,,,,
19-02-12,2571,zondag,3,372,54,6545,14286,1492.86,4684,,,,,
20-02-12,11086,maandag,2,486,0,8433,17975,1746.79,5673,,,,,
21-02-12,12086,dinsdag,6,54,0,9040,19586,1639.1,5963,,,,,
22-02-12,14529,woensdag,7,210,240,12947,28509,1683.3,6512,,,,,
23-02-12,16601,donderdag,10,114,204,11470,23112,1503.98,5941,,,,,
24-02-12,12143,vrijdag,8,0,48,8870,17838,1311.79,5030,,,,,
25-02-12,1,zaterdag,5,438,0,4935,11809,1059.64,3630,,,,,
26-02-12,3251,zondag,7,72,0,8471,17321,1508.95,5308,,,,,
27-02-12,12622,maandag,6,24,0,9126,19548,1673.01,6489,,,,,
28-02-12,10663,dinsdag,9,0,162,8368,18355,1530.11,6165,,,,,
29-02-12,14170,woensdag,9,0,42,9485,23903,1722.51,7839,,,,,
01-03-12,13606,donderdag,9,0,0,8501,19254,1446.77,6199,,,,,
02-03-12,15333,vrijdag,9,264,0,7932,15794,1221.81,4958,,,,,
03-03-12,,zaterdag,9,18,0,4408,10967,1096.7,3753,,,,,
04-03-12,13754,zondag,8,42,408,8007,16201,1477.6,5467,,,,,
05-03-12,7717,maandag,6,0,348,10203,22624,1623.98,6700,,,,,
06-03-12,2464,dinsdag,6,204,0,9887,27175,1426.28,6148,,,,,
07-03-12,2045,woensdag,4,0,408,10336,23835,1673.34,7508,,,,,
08-03-12,8141,donderdag,6,384,0,9197,20688,1463,6976,,,,,
09-03-12,15057,vrijdag,8,162,0,8072,17830,1275.98,5947,,,,,
10-03-12,1,zaterdag,9,102,84,4567,12728,1111,4421,,,,,
11-03-12,13001,zondag,9,582,0,7040,15659,1349.22,5495,,,,,
12-03-12,13695,maandag,8,348,0,9996,23299,1547.06,6988,,,,,
13-03-12,13581,dinsdag,8,0,0,9416,21675,1513.71,6619,,,,,
14-03-12,5521,woensdag,6,12,0,9361,20304,1553.32,6713,,,,,
15-03-12,5457,donderdag,7,654,0,11659,25499,1272.14,5478,,,,,
16-03-12,15385,vrijdag,8,246,0,9577,19551,1131.11,4924,,,,,
17-03-12,,zaterdag,9,198,0,4997,12572,996.57,3718,,,,,
18-03-12,4194,zondag,7,84,48,9094,18443,1477.84,5608,,,,,
19-03-12,6822,maandag,5,636,0,9046,19127,1531.66,6191,,,,,
20-03-12,12249,dinsdag,9,564,0,8406,17417,1441.72,5894,,,,,
21-03-12,11243,woensdag,9,666,0,8032,16353,1171.87,5047,,,,,
22-03-12,13411,donderdag,12,654,0,9343,20913,1078.26,4900,,,,,
23-03-12,16835,vrijdag,12,678,0,7922,15931,883.56,3655,,,,,
24-03-12,,zaterdag,11,636,0,3963,9701,737,2595,,,,,
25-03-12,12231,zondag,10,522,0,6446,13103,983.52,3727,,,,,
26-03-12,14766,maandag,10,690,0,10593,22288,1386.55,5512,,,,,
27-03-12,13429,dinsdag,10,618,0,12050,24218,1346.77,5507,,,,,
28-03-12,6911,woensdag,10,654,0,10246,20057,1276.76,5178,,,,,
29-03-12,15578,donderdag,9,204,0,9858,19018,1310.06,5320,,,,,
30-03-12,19851,vrijdag,9,0,0,11181,25022,1135.87,4822,,,,,
31-03-12,,zaterdag,7,162,0,5618,13677,959,3620,,,,,
01-04-12,14863,zondag,5,462,0,7427,16574,1358.41,5072,,,,,
02-04-12,15351,maandag,8,192,0,9319,19336,1482.52,6200,,,,,
03-04-12,13938,dinsdag,9,264,42,8908,18998,1322.06,5770,,,,,
04-04-12,14862,woensdag,8,0,0,9253,19911,1400.14,6204,,,,,
05-04-12,15838,donderdag,6,204,0,7734,17775,1400.8,6356,,,,,
06-04-12,18395,vrijdag,6,564,90,6627,14287,874.1,2703,,,,,Goede vrijdag
07-04-12,,zaterdag,5,114,54,2962,10042,990.42,3249,,,,,
08-04-12,128,zondag,6,360,132,3193,10486,912.73,3079,,,,,1e Paasdag
09-04-12,7313,maandag,9,0,840,6398,15067,1328.37,4883,,,,,2e Paasdag
10-04-12,3609,dinsdag,10,0,522,9238,21782,1451.36,5903,,,,,
11-04-12,13856,woensdag,8,252,36,11868,30614,1558.42,6103,,,,,
12-04-12,13757,donderdag,7,156,54,8961,19661,1308.63,5343,,,,,
13-04-12,15814,vrijdag,7,60,84,7821,16552,1180.29,4750,,,,,
14-04-12,1,zaterdag,8,606,0,3852,10777,903.87,3220,,,,,
15-04-12,13042,zondag,7,126,36,7407,16107,1342.96,5149,,,,,
16-04-12,13737,maandag,5,540,0,9500,19842,1596.12,6388,,,,,
17-04-12,12927,dinsdag,5,78,156,8967,19611,1596.13,6434,,,,,
18-04-12,14313,woensdag,8,264,108,11471,30430,1671.07,6737,,,,,
19-04-12,15691,donderdag,9,240,60,9285,22271,1426.4,5853,,,,,
20-04-12,17184,vrijdag,8,276,30,7893,17283,1241.24,5250,,,,,
21-04-12,,zaterdag,8,180,198,4208,11824,998.02,3686,,,,,
22-04-12,13719,zondag,9,294,48,7354,16782,1336.37,5365,,,,,
23-04-12,13895,maandag,9,180,318,9869,22017,1766.8,7663,,,,,
24-04-12,14145,dinsdag,10,336,78,9298,20715,1596.3,7224,,,,,
25-04-12,13740,woensdag,10,240,114,9642,21725,1566.51,7131,,,,,
26-04-12,15702,donderdag,11,174,162,11066,27471,1467.04,6565,,,,,
27-04-12,19331,vrijdag,12,372,0,8299,18260,1178.26,5090,,,,,
28-04-12,,zaterdag,11,0,162,4091,11845,1025.28,3607,,,,,
29-04-12,9941,zondag,13,222,0,4921,12886,1129.68,4082,,,,,
