,Date,Weekday,Voucher Total,Emails geaccepteerd,Emails unieke opens,TrafficTotal,Traffic split desktop,Traffic split mobile,Traffic split tablet,Som van Kosten,Som van Klikken,Ordered=Send
0,1-Jan-10,Vrijdag,"1,603",,,7016,,,,411.08,1580,
1,2-Jan-10,Zaterdag,"2,722",,,8988,,,,423.31,1823,
2,3-Jan-10,Zondag,"3,731",,,10512,,,,406.08,2043,3589.0
3,4-Jan-10,Maandag,"4,812",,,11726,,,,428.61,2048,3876.0
4,5-Jan-10,Dinsdag,"4,342",,,10222,,,,392.11,1736,3631.0
5,6-Jan-10,Woensdag,"4,205",,,9101,,,,395.59,1622,3018.0
6,7-Jan-10,Donderdag,"3,695",,,8634,,,,386.21,1514,2845.0
7,8-Jan-10,Vrijdag,"3,251",,,7638,,,,334.84,1446,3495.0
8,9-Jan-10,Zaterdag,"2,334",,,6669,,,,417.84,1504,
9,10-Jan-10,Zondag,"4,195",,,11182,,,,424.83,1758,2875.0
10,11-Jan-10,Maandag,"4,648",,,10616,,,,437.94,1900,3031.0
11,12-Jan-10,Dinsdag,"4,236",,,10306,,,,429.4,1815,3003.0
12,13-Jan-10,Woensdag,"4,021",,,9420,,,,422.61,1869,2643.0
13,14-Jan-10,Donderdag,"3,806",,,8715,,,,409.49,1645,3150.0
14,15-Jan-10,Vrijdag,"3,397",,,8106,,,,387.47,1543,3121.0
15,16-Jan-10,Zaterdag,"2,113",,,5936,,,,334.22,1271,
16,17-Jan-10,Zondag,"3,425",,,7999,,,,399.77,1621,2349.0
17,18-Jan-10,Maandag,"4,350",,,9632,,,,414.88,1803,2632.0
18,19-Jan-10,Dinsdag,"4,463",,,11103,,,,401.67,1730,2705.0
19,20-Jan-10,Woensdag,"4,531",,,11911,,,,412.67,1653,3130.0
20,21-Jan-10,Donderdag,"3,852",,,9116,,,,445.67,1640,2487.0
21,22-Jan-10,Vrijdag,"3,266",,,7753,,,,408.44,1503,2813.0
22,23-Jan-10,Zaterdag,"2,022",,,5845,,,,425.07,1273,
23,24-Jan-10,Zondag,"3,430",,,7956,,,,448.26,1582,2352.0
24,25-Jan-10,Maandag,"4,354",,,9482,,,,452.06,1753,2646.0
25,26-Jan-10,Dinsdag,"3,984",,,9220,,,,552.73,1972,2532.0
26,27-Jan-10,Woensdag,"4,217",,,9804,,,,581.0,2229,3751.0
27,28-Jan-10,Donderdag,"4,114",,,9499,,,,580.89,2164,2662.0
28,29-Jan-10,Vrijdag,"3,605",,,8917,,,,588.08,2038,2973.0
29,30-Jan-10,Zaterdag,"2,093",,,6598,,,,552.42,1750,
30,31-Jan-10,Zondag,"3,527",,,8793,,,,588.11,2062,2352.0
31,1-Feb-10,Maandag,"4,653",,,14651,,,,639.48,2452,2668.0
32,2-Feb-10,Dinsdag,"6,042",,,26321,,,,641.98,2545,3316.0
33,3-Feb-10,Woensdag,"5,176",,,22704,,,,624.07,2450,3078.0
34,4-Feb-10,Donderdag,"4,511",,,18040,,,,584.96,2239,2801.0
35,5-Feb-10,Vrijdag,"3,793",,,18325,,,,568.52,2120,2815.0
36,6-Feb-10,Zaterdag,"2,450",,,15163,,,,529.35,1743,
37,7-Feb-10,Zondag,"3,866",,,17330,,,,611.44,2169,2214.0
38,8-Feb-10,Maandag,"5,680",,,27690,,,,640.36,2550,2932.0
39,9-Feb-10,Dinsdag,"7,583",,,36037,,,,604.01,2473,3116.0
40,10-Feb-10,Woensdag,"8,701",,,38539,,,,500.46,2659,3761.0
41,11-Feb-10,Donderdag,"7,911",,,30701,,,,699.99,2888,3626.0
42,12-Feb-10,Vrijdag,"6,614",,,25018,,,,694.67,2683,7050.0
43,13-Feb-10,Zaterdag,"2,756",,,18871,,,,688.1,2222,
44,14-Feb-10,Zondag,"3,509",,,20502,,,,739.54,2638,2367.0
45,15-Feb-10,Maandag,"4,278",,,12229,,,,622.69,2190,2793.0
46,16-Feb-10,Dinsdag,"4,091",,,10613,,,,678.11,2392,2709.0
47,17-Feb-10,Woensdag,"4,293",,,10751,,,,680.1,2389,2816.0
48,18-Feb-10,Donderdag,"3,921",,,10183,,,,681.54,2282,3533.0
49,19-Feb-10,Vrijdag,"3,696",,,9417,,,,671.67,2274,2925.0
50,20-Feb-10,Zaterdag,"2,441",,,8155,,,,698.27,2037,
51,21-Feb-10,Zondag,"3,573",,,10174,,,,714.41,2352,2267.0
52,22-Feb-10,Maandag,"5,471",,,14184,,,,713.07,2558,3359.0
53,23-Feb-10,Dinsdag,"4,442",,,10809,,,,675.74,2297,2560.0
54,24-Feb-10,Woensdag,"4,166",,,10361,,,,680.03,2236,2644.0
55,25-Feb-10,Donderdag,"6,479",,,14992,,,,671.51,2274,3036.0
56,26-Feb-10,Vrijdag,"7,225",,,18383,,,,666.09,2111,5201.0
57,27-Feb-10,Zaterdag,"3,419",,,10562,,,,664.99,1939,
58,28-Feb-10,Zondag,"5,399",,,13452,,,,693.39,2316,3287.0
59,1-Mar-10,Maandag,"5,627",,,13552,,,,750.73,2379,3403.0
60,2-Mar-10,Dinsdag,"5,450",,,16163,,,,700.68,2283,2992.0
61,3-Mar-10,Woensdag,"5,786",,,20181,,,,715.52,2169,3422.0
62,4-Mar-10,Donderdag,"4,280",,,11986,,,,690.74,2074,2725.0
63,5-Mar-10,Vrijdag,"3,903",,,10611,,,,630.36,2015,3541.0
64,6-Mar-10,Zaterdag,"2,238",,,7609,,,,625.29,1827,
65,7-Mar-10,Zondag,"3,649",,,9775,,,,719.06,2296,2008.0
66,8-Mar-10,Maandag,"4,896",,,12001,,,,736.92,2505,3002.0
67,9-Mar-10,Dinsdag,"4,220",,,10584,,,,638.88,2303,2576.0
68,10-Mar-10,Woensdag,"4,745",,,11057,,,,649.62,2287,2776.0
69,11-Mar-10,Donderdag,"4,122",,,10317,,,,679.59,2393,2747.0
70,12-Mar-10,Vrijdag,"3,478",,,10055,,,,662.87,2123,3029.0
71,13-Mar-10,Zaterdag,"2,229",,,8366,,,,560.92,1746,
72,14-Mar-10,Zondag,"3,721",,,9732,,,,677.41,2126,2557.0
73,15-Mar-10,Maandag,"4,627",,,11353,,,,696.02,2516,3655.0
74,16-Mar-10,Dinsdag,"4,047",,,10622,,,,694.66,2463,2377.0
75,17-Mar-10,Woensdag,"3,629",,,9470,,,,599.26,2127,2325.0
76,18-Mar-10,Donderdag,"3,679",,,10227,,,,617.18,1960,2285.0
77,19-Mar-10,Vrijdag,"4,199",,,16812,,,,646.82,2131,3603.0
78,20-Mar-10,Zaterdag,"2,085",,,8895,,,,548.12,1752,
79,21-Mar-10,Zondag,"3,240",,,9638,,,,639.9,2086,2151.0
80,22-Mar-10,Maandag,"4,127",,,11227,,,,666.53,2375,2588.0
81,23-Mar-10,Dinsdag,"3,846",,,10418,,,,648.16,2209,2606.0
82,24-Mar-10,Woensdag,"3,854",,,9686,,,,651.05,2204,2403.0
83,25-Mar-10,Donderdag,"3,327",,,8704,,,,600.28,2007,2273.0
84,26-Mar-10,Vrijdag,"3,253",,,8889,,,,666.79,2181,2811.0
85,27-Mar-10,Zaterdag,"1,883",,,6861,,,,561.87,1828,
86,28-Mar-10,Zondag,"3,088",,,8438,,,,560.28,1976,1977.0
87,29-Mar-10,Maandag,"7,269",,,18153,,,,687.84,2485,3490.0
88,30-Mar-10,Dinsdag,"6,447",,,17798,,,,679.22,2421,3919.0
89,31-Mar-10,Woensdag,"5,748",,,14186,,,,688.49,2537,3869.0
90,1-Apr-10,Donderdag,"4,864",,,12721,,,,734.96,2604,3293.0
91,2-Apr-10,Vrijdag,"3,572",,,10274,,,,720.73,2397,5894.0
92,3-Apr-10,Zaterdag,"1,402",,,7569,,,,681.4,2044,
93,4-Apr-10,Zondag,"1,789",,,7834,,,,666.21,2055,
94,5-Apr-10,Maandag,"2,687",,,8502,,,,683.75,2191,367.0
95,6-Apr-10,Dinsdag,"3,694",,,9461,,,,545.24,2126,2686.0
96,7-Apr-10,Woensdag,"3,692",,,9495,,,,581.42,2115,2483.0
97,8-Apr-10,Donderdag,"3,923",,,9933,,,,716.97,2455,2897.0
98,9-Apr-10,Vrijdag,"3,168",,,8550,,,,648.32,2202,2749.0
99,10-Apr-10,Zaterdag,"1,945",,,6667,,,,642.02,1962,
100,11-Apr-10,Zondag,"3,501",,,10201,,,,688.26,2623,2510.0
101,12-Apr-10,Maandag,"4,482",,,11413,,,,717.01,2711,2803.0
102,13-Apr-10,Dinsdag,"3,992",,,10397,,,,676.06,2543,2426.0
103,14-Apr-10,Woensdag,"3,994",,,10173,,,,653.19,2575,2701.0
104,15-Apr-10,Donderdag,"3,582",,,9197,,,,601.25,2430,2265.0
105,16-Apr-10,Vrijdag,"4,339",,,10946,,,,655.27,2174,3570.0
106,17-Apr-10,Zaterdag,"1,872",,,5768,,,,556.75,1544,
107,18-Apr-10,Zondag,"2,942",,,7518,,,,624.92,1868,1511.0
108,19-Apr-10,Maandag,"5,961",,,13552,,,,681.81,2299,3710.0
109,20-Apr-10,Dinsdag,"5,256",,,11813,,,,654.51,2307,3401.0
110,21-Apr-10,Woensdag,"4,915",,,11277,,,,667.94,2294,3293.0
111,22-Apr-10,Donderdag,"4,164",,,9868,,,,623.25,2053,3022.0
112,23-Apr-10,Vrijdag,"3,238",,,7537,,,,523.77,1758,3121.0
113,24-Apr-10,Zaterdag,"1,704",,,5640,,,,565.99,1476,
114,25-Apr-10,Zondag,"3,008",,,7634,,,,581.54,1748,1729.0
115,26-Apr-10,Maandag,"4,961",,,12420,,,,677.75,2353,3022.0
116,27-Apr-10,Dinsdag,"5,571",,,14671,,,,665.71,2200,3168.0
117,28-Apr-10,Woensdag,"4,298",,,10536,,,,657.15,2211,3113.0
118,29-Apr-10,Donderdag,"3,281",,,8685,,,,581.72,1857,2364.0
119,30-Apr-10,Vrijdag,"2,568",,,7548,,,,508.49,1524,
120,1-May-10,Zaterdag,"2,668",,,8560,,,,650.68,2030,
121,2-May-10,Zondag,"3,509",,,22005,,,,753.59,2940,2378.0
122,3-May-10,Maandag,"9,425",,,34952,,,,763.41,2931,4482.0
123,4-May-10,Dinsdag,"5,845",,,29753,,,,733.14,2774,3579.0
124,5-May-10,Woensdag,"6,722",,,26842,,,,700.02,2986,
125,6-May-10,Donderdag,"9,240",,,37928,,,,716.91,3216,4997.0
126,7-May-10,Vrijdag,"8,313",,,34155,,,,724.71,3038,10077.0
127,8-May-10,Zaterdag,"2,839",,,14777,,,,604.02,2333,
128,9-May-10,Zondag,"3,773",,,14368,,,,686.67,2843,2198.0
129,10-May-10,Maandag,"4,877",,,13093,,,,698.5,2436,4290.0
130,11-May-10,Dinsdag,"4,642",,,12130,,,,685.32,2365,5678.0
131,12-May-10,Woensdag,"3,820",,,10384,,,,653.87,2260,2786.0
132,13-May-10,Donderdag,"3,596",,,9688,,,,662.35,2104,
133,14-May-10,Vrijdag,"3,236",,,8571,,,,590.88,1843,2738.0
134,15-May-10,Zaterdag,"2,170",,,6621,,,,543.33,1517,
135,16-May-10,Zondag,"3,751",,,9151,,,,576.66,1960,2075.0
136,17-May-10,Maandag,"4,921",,,11334,,,,673.12,2187,3037.0
137,18-May-10,Dinsdag,"4,324",,,10207,,,,669.56,2132,2777.0
138,19-May-10,Woensdag,"4,193",,,9709,,,,652.22,2050,2747.0
139,20-May-10,Donderdag,"5,037",,,11474,,,,640.78,1908,2908.0
140,21-May-10,Vrijdag,"3,891",,,8836,,,,566.35,1557,3986.0
141,22-May-10,Zaterdag,"1,642",,,5222,,,,586.9,1341,
142,23-May-10,Zondag,"2,004",,,5394,,,,594.9,1367,
143,24-May-10,Maandag,"3,431",,,7770,,,,632.8,1595,500.0
144,25-May-10,Dinsdag,"4,756",,,10151,,,,659.87,1872,3030.0
145,26-May-10,Woensdag,"5,389",,,11797,,,,788.8,2097,3505.0
146,27-May-10,Donderdag,"5,029",,,13507,,,,758.08,2042,6432.0
147,28-May-10,Vrijdag,"4,055",,,11198,,,,731.47,1780,3622.0
148,29-May-10,Zaterdag,"2,227",,,6204,,,,675.07,1502,
149,30-May-10,Zondag,"4,486",,,11264,,,,762.45,2033,2738.0
150,31-May-10,Maandag,"5,466",,,12387,,,,760.44,2136,3583.0
151,1-Jun-10,Dinsdag,"4,454",,,10293,,,,802.02,2114,2794.0
152,2-Jun-10,Woensdag,"4,259",,,9324,,,,788.69,2064,2521.0
153,3-Jun-10,Donderdag,"3,920",,,8599,,,,774.14,1871,3025.0
154,4-Jun-10,Vrijdag,"3,302",,,7444,,,,728.8,1561,3156.0
155,5-Jun-10,Zaterdag,"1,413",,,4596,,,,633.35,1153,
156,6-Jun-10,Zondag,"3,758",,,11038,,,,784.01,1798,1985.0
157,7-Jun-10,Maandag,"5,589",,,15242,,,,773.69,2426,3863.0
158,8-Jun-10,Dinsdag,"4,722",,,12078,,,,792.6,2515,2903.0
159,9-Jun-10,Woensdag,"4,597",,,11926,,,,781.55,2578,3010.0
160,10-Jun-10,Donderdag,"3,979",,,9509,,,,773.25,2265,2852.0
161,11-Jun-10,Vrijdag,"4,260",,,11579,,,,802.0,2289,3832.0
162,12-Jun-10,Zaterdag,"2,281",,,8103,,,,785.87,2364,
163,13-Jun-10,Zondag,"3,904",,,10762,,,,880.94,2840,2262.0
164,14-Jun-10,Maandag,"5,962",,,18657,,,,901.08,3056,3032.0
165,15-Jun-10,Dinsdag,"6,025",,,19092,,,,831.73,3370,3063.0
166,16-Jun-10,Woensdag,"6,884",,,20493,,,,1185.77,3648,3943.0
167,17-Jun-10,Donderdag,"8,780",,,26242,,,,1209.23,3915,4883.0
168,18-Jun-10,Vrijdag,"7,857",,,20724,,,,1142.17,3483,8078.0
169,19-Jun-10,Zaterdag,"2,945",,,11165,,,,1062.82,2629,
170,20-Jun-10,Zondag,"5,045",,,15712,,,,1112.83,3242,3109.0
171,21-Jun-10,Maandag,"5,880",,,14589,,,,997.39,3078,3822.0
172,22-Jun-10,Dinsdag,"5,060",,,11634,,,,985.4,2827,3325.0
173,23-Jun-10,Woensdag,"4,597",,,9801,,,,571.72,1214,3294.0
174,24-Jun-10,Donderdag,"4,160",,,9219,,,,815.42,1960,3157.0
175,25-Jun-10,Vrijdag,"3,861",,,8577,,,,965.1,2379,3295.0
176,26-Jun-10,Zaterdag,"2,253",,,5376,,,,691.18,1535,
177,27-Jun-10,Zondag,"3,226",,,6896,,,,787.81,1837,1869.0
178,28-Jun-10,Maandag,"5,325",,,11037,,,,954.09,2498,2962.0
179,29-Jun-10,Dinsdag,"9,232",,,20515,,,,984.47,2770,5128.0
180,30-Jun-10,Woensdag,"6,855",,,14759,,,,976.54,2739,4786.0
181,1-Jul-10,Donderdag,"5,831",,,12742,,,,929.0,2679,4314.0
182,2-Jul-10,Vrijdag,"4,140",,,9052,,,,756.42,2054,3665.0
183,3-Jul-10,Zaterdag,"3,109",,,7769,,,,755.98,1904,
184,4-Jul-10,Zondag,"4,350",,,10263,,,,883.97,2239,2258.0
185,5-Jul-10,Maandag,"6,058",,,14105,,,,970.7,2952,3796.0
186,6-Jul-10,Dinsdag,"4,419",,,10384,,,,856.0,2467,3610.0
187,7-Jul-10,Woensdag,"5,036",,,11423,,,,874.72,2517,2802.0
188,8-Jul-10,Donderdag,"4,295",,,9397,,,,863.42,2356,2900.0
189,9-Jul-10,Vrijdag,"3,712",,,8139,,,,703.68,1880,3406.0
190,10-Jul-10,Zaterdag,"2,124",,,5285,,,,536.38,1351,
191,11-Jul-10,Zondag,"2,530",,,5778,,,,567.31,1438,1960.0
192,12-Jul-10,Maandag,"4,979",,,10558,,,,890.96,2506,3236.0
193,13-Jul-10,Dinsdag,"4,996",,,10869,,,,860.32,2468,3036.0
194,14-Jul-10,Woensdag,"5,323",,,11220,,,,827.96,2526,3632.0
195,15-Jul-10,Donderdag,"4,837",,,10177,,,,782.78,2495,3253.0
196,16-Jul-10,Vrijdag,"3,824",,,9244,,,,768.68,2319,3459.0
197,17-Jul-10,Zaterdag,"2,250",,,6077,,,,684.89,1735,
198,18-Jul-10,Zondag,"2,844",,,7005,,,,708.09,1877,1756.0
199,19-Jul-10,Maandag,"4,292",,,9604,,,,833.39,2428,3051.0
200,20-Jul-10,Dinsdag,"4,045",,,9051,,,,771.29,2258,2609.0
201,21-Jul-10,Woensdag,"4,367",,,9585,,,,689.87,2229,3211.0
202,22-Jul-10,Donderdag,"4,312",,,9424,,,,759.44,2287,3003.0
203,23-Jul-10,Vrijdag,"3,729",,,8672,,,,698.76,2109,3570.0
204,24-Jul-10,Zaterdag,"1,976",,,6011,,,,567.72,1494,
205,25-Jul-10,Zondag,"4,745",,,12424,,,,739.09,2081,3189.0
206,26-Jul-10,Maandag,"5,247",,,12192,,,,787.25,2621,3952.0
207,27-Jul-10,Dinsdag,"4,632",,,10605,,,,871.04,2816,3519.0
208,28-Jul-10,Woensdag,"4,470",,,10273,,,,817.81,2624,3573.0
209,29-Jul-10,Donderdag,"4,751",,,38545,,,,804.22,2500,3251.0
210,30-Jul-10,Vrijdag,"3,676",,,15659,,,,699.14,2076,3457.0
211,31-Jul-10,Zaterdag,"2,584",,,10291,,,,644.91,1921,
212,1-Aug-10,Zondag,"3,403",,,10534,,,,735.39,2223,2443.0
213,2-Aug-10,Maandag,"4,664",,,12524,,,,815.1,2625,3338.0
214,3-Aug-10,Dinsdag,"4,045",,,10759,,,,779.66,2507,2889.0
215,4-Aug-10,Woensdag,"4,658",,,11866,,,,834.85,2717,3268.0
216,5-Aug-10,Donderdag,"4,142",,,10574,,,,838.06,2636,2926.0
217,6-Aug-10,Vrijdag,"3,227",,,8227,,,,697.29,2113,3245.0
218,7-Aug-10,Zaterdag,"2,320",,,7011,,,,666.33,1896,
219,8-Aug-10,Zondag,"3,373",,,8761,,,,847.61,2534,2507.0
220,9-Aug-10,Maandag,"4,285",,,10246,,,,890.49,2729,2856.0
221,10-Aug-10,Dinsdag,"4,314",,,10854,,,,839.05,2675,3193.0
222,11-Aug-10,Woensdag,"5,264",,,12811,,,,801.92,2565,3872.0
223,12-Aug-10,Donderdag,"4,699",,,10949,,,,784.98,2395,3534.0
224,13-Aug-10,Vrijdag,"4,037",,,9188,,,,687.21,2088,4125.0
225,14-Aug-10,Zaterdag,"2,229",,,5945,,,,530.9,1528,
226,15-Aug-10,Zondag,"4,044",,,9834,,,,870.41,2482,3008.0
227,16-Aug-10,Maandag,"5,193",,,12112,,,,963.54,3074,3765.0
228,17-Aug-10,Dinsdag,"4,963",,,11968,,,,980.65,3046,3575.0
229,18-Aug-10,Woensdag,"5,710",,,13695,,,,1009.26,3266,3635.0
230,19-Aug-10,Donderdag,"5,813",,,14658,,,,871.96,2903,4724.0
231,20-Aug-10,Vrijdag,"3,614",,,8808,,,,699.76,2248,3538.0
232,21-Aug-10,Zaterdag,"2,166",,,6227,,,,597.44,1682,
233,22-Aug-10,Zondag,"3,980",,,9284,,,,836.18,2447,3092.0
234,23-Aug-10,Maandag,"5,182",,,12005,,,,1034.57,3173,3977.0
235,24-Aug-10,Dinsdag,"4,949",,,11734,,,,920.92,3125,3595.0
236,25-Aug-10,Woensdag,"7,212",,,16037,,,,901.77,2883,3839.0
237,26-Aug-10,Donderdag,"6,634",,,14429,,,,941.26,2735,4922.0
238,27-Aug-10,Vrijdag,"5,231",,,11505,,,,803.15,2468,5054.0
239,28-Aug-10,Zaterdag,"2,868",,,7357,,,,612.13,1780,
240,29-Aug-10,Zondag,"5,040",,,11645,,,,990.25,2694,3127.0
241,30-Aug-10,Maandag,"6,528",,,14285,,,,1055.23,3067,4556.0
242,31-Aug-10,Dinsdag,"5,334",,,12229,,,,960.74,2708,3855.0
243,1-Sep-10,Woensdag,"5,060",,,11763,,,,899.61,2578,3791.0
244,2-Sep-10,Donderdag,"4,732",,,10932,,,,848.87,2500,3628.0
245,3-Sep-10,Vrijdag,"4,084",,,9513,,,,727.52,2125,3624.0
246,4-Sep-10,Zaterdag,"2,148",,,7025,,,,594.66,1567,
247,5-Sep-10,Zondag,"3,613",,,9571,,,,801.91,2125,2241.0
248,6-Sep-10,Maandag,"6,646",,,19230,,,,958.55,2869,4842.0
249,7-Sep-10,Dinsdag,"5,947",,,15168,,,,988.32,3033,4633.0
250,8-Sep-10,Woensdag,"5,942",,,14741,,,,1075.92,3213,4637.0
251,9-Sep-10,Donderdag,"4,940",,,12446,,,,947.19,2907,3637.0
252,10-Sep-10,Vrijdag,"4,344",,,10734,,,,857.13,2292,4379.0
253,11-Sep-10,Zaterdag,"2,237",,,6587,,,,581.43,1371,
254,12-Sep-10,Zondag,"4,092",,,10435,,,,1021.2,2244,2746.0
255,13-Sep-10,Maandag,"5,843",,,13981,,,,1010.91,2372,4168.0
256,14-Sep-10,Dinsdag,"5,333",,,13075,,,,1146.03,2732,3626.0
257,15-Sep-10,Woensdag,"5,717",,,23613,,,,979.15,2377,4167.0
258,16-Sep-10,Donderdag,"5,207",,,15370,,,,976.52,2613,4124.0
259,17-Sep-10,Vrijdag,"4,372",,,11161,,,,874.12,2412,4456.0
260,18-Sep-10,Zaterdag,"2,294",,,7166,,,,664.03,1702,
261,19-Sep-10,Zondag,"4,051",,,10376,,,,990.69,2408,2801.0
262,20-Sep-10,Maandag,"5,433",,,15673,,,,1205.96,3330,4042.0
263,21-Sep-10,Dinsdag,"4,732",,,12881,,,,1063.91,2967,3538.0
264,22-Sep-10,Woensdag,"4,860",,,18006,,,,1086.98,2982,3563.0
265,23-Sep-10,Donderdag,"5,457",,,17823,,,,1062.1,2484,3972.0
266,24-Sep-10,Vrijdag,"5,160",,,15279,,,,1037.08,2577,4946.0
267,25-Sep-10,Zaterdag,"2,477",,,9982,,,,887.34,2082,
268,26-Sep-10,Zondag,"4,431",,,40773,,,,1116.7,2514,2716.0
269,27-Sep-10,Maandag,"6,197",,,26370,,,,1373.53,3334,4701.0
270,28-Sep-10,Dinsdag,"5,512",,,16601,,,,1278.17,2851,4027.0
271,29-Sep-10,Woensdag,"6,594",,,19637,,,,1185.93,2787,4123.0
272,30-Sep-10,Donderdag,"6,282",,,24991,,,,1319.93,3033,5068.0
273,1-Oct-10,Vrijdag,"4,488",,,17169,,,,1084.72,2475,5055.0
274,2-Oct-10,Zaterdag,"2,626",,,9648,,,,1048.53,2164,
275,3-Oct-10,Zondag,"3,933",,,11056,,,,1178.04,2556,2829.0
276,4-Oct-10,Maandag,"5,240",,,13369,,,,1476.02,3426,3873.0
277,5-Oct-10,Dinsdag,"4,734",,,11790,,,,1421.67,3362,3219.0
278,6-Oct-10,Woensdag,"5,235",,,12804,,,,1286.06,3491,4171.0
279,7-Oct-10,Donderdag,"4,322",,,10562,,,,1218.78,2946,3480.0
280,8-Oct-10,Vrijdag,"3,985",,,9837,,,,1145.35,2639,3975.0
281,9-Oct-10,Zaterdag,"2,020",,,6700,,,,896.37,1961,
282,10-Oct-10,Zondag,"3,569",,,9154,,,,1174.58,2683,2543.0
283,11-Oct-10,Maandag,"5,932",,,15587,,,,1363.76,3338,3680.0
284,12-Oct-10,Dinsdag,"7,787",,,18843,,,,1393.79,3184,4458.0
285,13-Oct-10,Woensdag,"5,607",,,14461,,,,1323.58,3117,4025.0
286,14-Oct-10,Donderdag,"5,103",,,12737,,,,1260.03,3037,4286.0
287,15-Oct-10,Vrijdag,"5,574",,,19517,,,,1215.98,2902,5236.0
288,16-Oct-10,Zaterdag,"3,300",,,13004,,,,898.86,2087,
289,17-Oct-10,Zondag,"4,699",,,13550,,,,1279.32,2797,2828.0
290,18-Oct-10,Maandag,"5,853",,,14951,,,,1432.1,3345,3941.0
291,19-Oct-10,Dinsdag,"5,055",,,14558,,,,1536.15,3516,3674.0
292,20-Oct-10,Woensdag,"5,341",,,15375,,,,1462.61,3316,3675.0
293,21-Oct-10,Donderdag,"4,765",,,13899,,,,1256.06,3044,3591.0
294,22-Oct-10,Vrijdag,"4,182",,,12857,,,,1043.78,2515,4131.0
295,23-Oct-10,Zaterdag,"2,757",,,9399,,,,893.86,2054,
296,24-Oct-10,Zondag,"3,863",,,11269,,,,1194.06,2737,2782.0
297,25-Oct-10,Maandag,"5,246",,,14327,,,,1391.01,3372,3793.0
298,26-Oct-10,Dinsdag,"5,043",,,13387,,,,1333.28,3179,4026.0
299,27-Oct-10,Woensdag,"5,742",,,14639,,,,1494.85,3321,4266.0
300,28-Oct-10,Donderdag,"5,487",,,13907,,,,1288.74,3032,4792.0
301,29-Oct-10,Vrijdag,"4,280",,,11137,,,,1068.53,2516,4581.0
302,30-Oct-10,Zaterdag,"2,769",,,8844,,,,918.27,2046,
303,31-Oct-10,Zondag,"4,716",,,12292,,,,1400.17,3141,3365.0
304,1-Nov-10,Maandag,"5,591",,,13772,,,,1471.12,3374,4627.0
305,2-Nov-10,Dinsdag,"5,220",,,14380,,,,1542.93,3616,4353.0
306,3-Nov-10,Woensdag,"5,550",,,17535,,,,1414.93,3223,4324.0
307,4-Nov-10,Donderdag,"5,082",,,20766,,,,1320.41,3067,3931.0
308,5-Nov-10,Vrijdag,"4,419",,,13579,,,,1280.01,2879,4846.0
309,6-Nov-10,Zaterdag,"2,756",,,10238,,,,975.58,2253,
310,7-Nov-10,Zondag,"4,367",,,13839,,,,1443.94,3204,2863.0
311,8-Nov-10,Maandag,"5,866",,,16601,,,,1412.5,4026,4544.0
312,9-Nov-10,Dinsdag,"5,233",,,17220,,,,1440.9,3736,4575.0
313,10-Nov-10,Woensdag,"5,486",,,18245,,,,1479.31,3613,4420.0
314,11-Nov-10,Donderdag,"4,948",,,18863,,,,1346.63,3316,3920.0
315,12-Nov-10,Vrijdag,"6,395",,,22143,,,,1062.26,3035,5814.0
316,13-Nov-10,Zaterdag,"3,673",,,16055,,,,891.37,2480,
317,14-Nov-10,Zondag,"5,399",,,19517,,,,1312.77,3600,3835.0
318,15-Nov-10,Maandag,"5,758",,,21512,,,,1470.85,4053,3483.0
319,16-Nov-10,Dinsdag,"5,284",,,18648,,,,1280.94,3725,3556.0
320,17-Nov-10,Woensdag,"5,968",,,21658,,,,1318.24,4021,4194.0
321,18-Nov-10,Donderdag,"5,230",,,18112,,,,1165.06,3561,4632.0
322,19-Nov-10,Vrijdag,"4,395",,,16357,,,,1019.08,3161,4254.0
323,20-Nov-10,Zaterdag,"2,494",,,14048,,,,888.47,2614,
324,21-Nov-10,Zondag,"4,225",,,15871,,,,1156.51,3392,2695.0
325,22-Nov-10,Maandag,"5,944",,,24353,,,,1301.02,3823,4717.0
326,23-Nov-10,Dinsdag,"5,921",,,21271,,,,1266.91,3798,4669.0
327,24-Nov-10,Woensdag,"4,630",,,16079,,,,1264.37,3609,3237.0
328,25-Nov-10,Donderdag,"4,263",,,14467,,,,1339.03,3549,3043.0
329,26-Nov-10,Vrijdag,"3,788",,,13028,,,,1181.6,3025,3953.0
330,27-Nov-10,Zaterdag,"2,382",,,10027,,,,924.89,2454,
331,28-Nov-10,Zondag,"4,124",,,13309,,,,1202.62,3141,3073.0
332,29-Nov-10,Maandag,"7,894",,,22067,,,,1438.24,4440,4680.0
333,30-Nov-10,Dinsdag,"11,629",,,26657,,,,1271.65,3777,7275.0
334,1-Dec-10,Woensdag,"7,950",,,20874,,,,1395.01,3980,5037.0
335,2-Dec-10,Donderdag,"6,377",,,16766,,,,1336.68,3880,4385.0
336,3-Dec-10,Vrijdag,"5,464",,,15184,,,,1141.95,2737,5946.0
337,4-Dec-10,Zaterdag,"3,554",,,18041,,,,1182.2,3508,
338,5-Dec-10,Zondag,"5,091",,,18755,,,,941.73,2051,4940.0
339,6-Dec-10,Maandag,"6,125",,,23579,,,,1668.08,5558,6173.0
340,7-Dec-10,Dinsdag,"6,156",,,39019,,,,1646.49,5403,7311.0
341,8-Dec-10,Woensdag,"5,380",,,38043,,,,2126.56,6701,6859.0
